
========================================================================================
  EPL (Premier League)   OOS: 218 matches
  Profitable: 255 | Losing: 1603 | Baseline rows: 14
========================================================================================

  BASELINE (no filters) per odds range:
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  away[2.0,2.5) xg>=1.5 elo<=-30 mkt>=0.4                 7  14.3%  2.07  -70.7% -70.4%
  away[2.0,2.5) xg>=1.5 mkt>=0.4                          7  14.3%  2.07  -70.7% -70.4%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.5                7  14.3%  2.11  -70.7% -69.8%
  away[2.0,2.5) xg>=1.5 form>=1.5 mkt>=0.35               7  14.3%  2.11  -70.7% -69.8%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.35      7  14.3%  2.11  -70.7% -69.8%
  away[2.0,2.5) xg>=1.5 form>=1.5                         7  14.3%  2.11  -70.7% -69.8%
  home[1.55,1.8) elo>=75 form>=1.8 mkt>=0.55              5  20.0%  1.58  -68.6% -68.5%
  home[1.55,1.8) elo>=75 form>=1.8                        5  20.0%  1.58  -68.6% -68.5%
  home[1.55,1.8) elo>=75 form>=1.8 mkt>=0.5               5  20.0%  1.58  -68.6% -68.5%
  home[1.55,1.8) elo>=75 form>=1.8 mkt>=0.45              5  20.0%  1.58  -68.6% -68.5%
  away[2.0,2.5) xg>=1.2                                  13  15.4%  2.16  -67.3% -66.7%
  away[2.0,2.5) xg>=1.2 mkt>=0.35                        13  15.4%  2.16  -67.3% -66.7%
  away[2.0,2.5) xg>=1.2 elo<=-30 mkt>=0.35               13  15.4%  2.16  -67.3% -66.7%
  away[2.0,2.5) xg>=1.2 elo<=-30                         13  15.4%  2.16  -67.3% -66.7%
  away[2.0,2.5) xg>=1.5 form>=1.5 mkt>=0.4                6  16.7%  2.06  -65.8% -65.7%
  away[2.0,2.5) form>=1.5 mkt>=0.45                       6  16.7%  2.04  -65.8% -66.0%
  away[2.0,2.5) xg>=1.0 elo<=-30 mkt>=0.45                6  16.7%  2.03  -65.8% -66.1%
  away[2.0,2.5) xg>=1.5 form>=1.8                         6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.8                6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.8                6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.8 mkt>=0.35      6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.5 form>=1.8 mkt>=0.35               6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.2 form>=1.8 mkt>=0.35               6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.2 mkt>=0.45                         6  16.7%  2.03  -65.8% -66.1%
  away[2.0,2.5) xg>=1.0 mkt>=0.45                         6  16.7%  2.03  -65.8% -66.1%
  away[2.0,2.5) elo<=-30 form>=1.5 mkt>=0.45              6  16.7%  2.04  -65.8% -66.0%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.4       6  16.7%  2.06  -65.8% -65.7%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.8 mkt>=0.35      6  16.7%  2.12  -65.8% -64.7%
  away[2.0,2.5) xg>=1.2 elo<=-30 mkt>=0.45                6  16.7%  2.03  -65.8% -66.1%
  away[2.0,2.5) xg>=1.2 form>=1.8                         6  16.7%  2.12  -65.8% -64.7%
  home[1.55,1.8) elo>=30 form>=1.5 mkt>=0.55              9  22.2%  1.60  -65.1% -64.5%
  away[1.7,2.0) xg>=1.0 elo<=-75 form>=2.2 mkt>=0.4       5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) xg>=1.0 elo<=-75 form>=2.2 mkt>=0.45      5  20.0%  1.83  -64.0% -63.4%
