ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
120,2.2,4.0,0.0,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.5,0.1,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.5,0.08,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.5,0.05,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.5,0.03,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,2.8,0.1,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.5,0.0,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.0,0.08,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.0,0.05,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.0,0.03,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.0,0.0,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
90,2.2,3.0,0.1,39,0.5384615384615384,28.615384615384613,52,0.4807692307692308,14.711538461538462,21.663461538461537
90,2.2,3.0,0.0,39,0.5384615384615384,28.615384615384613,52,0.4807692307692308,14.711538461538462,21.663461538461537
90,2.2,3.0,0.08,39,0.5384615384615384,28.615384615384613,52,0.4807692307692308,14.711538461538462,21.663461538461537
90,2.2,3.0,0.05,39,0.5384615384615384,28.615384615384613,52,0.4807692307692308,14.711538461538462,21.663461538461537
90,2.2,3.0,0.03,39,0.5384615384615384,28.615384615384613,52,0.4807692307692308,14.711538461538462,21.663461538461537
70,2.2,2.5,0.1,53,0.5283018867924528,23.169811320754715,66,0.5,16.560606060606066,19.86520869068039
70,2.2,2.5,0.08,53,0.5283018867924528,23.169811320754715,66,0.5,16.560606060606066,19.86520869068039
70,2.2,2.5,0.0,53,0.5283018867924528,23.169811320754715,66,0.5,16.560606060606066,19.86520869068039
70,2.2,2.5,0.03,53,0.5283018867924528,23.169811320754715,66,0.5,16.560606060606066,19.86520869068039
