date,league,side,actual,won,odds,model_prob,ev
2025-02-21 19:45:00,Ligue 1,home,home,True,2.25,0.5510930474849886,0.23995935684122416
2025-02-22 18:00:00,Ligue 1,home,draw,False,2.3,0.5722434750585382,0.3161599926346379
2025-02-22 20:30:00,Primeira Liga,home,home,True,2.1,0.6112378238335366,0.283599430050427
2025-02-23 20:30:00,Primeira Liga,home,home,True,2.38,0.5122270866681017,0.21910046627008195
2025-02-24 20:00:00,La Liga,home,draw,False,2.0,0.6890388573035678,0.3780777146071357
2025-02-28 20:00:00,La Liga,away,draw,False,2.38,0.5388870409787131,0.2825511575293371
2025-03-01 13:00:00,La Liga,home,draw,False,2.2,0.6492954778065956,0.4284500511745104
2025-03-01 15:15:00,La Liga,home,draw,False,2.35,0.5832767657463364,0.37070039950389044
2025-03-01 20:30:00,Primeira Liga,home,home,True,1.85,0.8109345862908199,0.500228984638017
2025-03-02 14:00:00,Serie A,home,home,True,1.62,0.7556294053028267,0.22411963659057932
2025-03-02 17:00:00,Serie A,home,home,True,1.95,0.6508331637177522,0.26912466924961675
2025-03-02 17:30:00,La Liga,home,draw,False,2.45,0.5293133358025276,0.29681767271619264
2025-03-02 19:45:00,Serie A,home,away,False,2.1,0.5751455637622018,0.20780568390062393
2025-03-07 19:45:00,Serie A,home,draw,False,2.45,0.6030710092036354,0.4775239725489069
2025-03-08 14:30:00,Bundesliga,away,draw,False,1.53,0.7850925340745882,0.20119157713411995
2025-03-09 15:30:00,Primeira Liga,home,draw,False,2.0,0.6729283345607427,0.3458566691214855
2025-03-09 16:15:00,Ligue 1,home,away,False,2.25,0.6508938702028205,0.46451120795634626
2025-03-09 16:30:00,Bundesliga,home,draw,False,1.8,0.6722465111781869,0.21004372012073635
2025-03-09 17:30:00,La Liga,home,draw,False,1.67,0.7466212422343621,0.24685747453138474
2025-03-09 20:00:00,La Liga,home,away,False,2.3,0.6762573098032636,0.5553918125475061
2025-03-10 19:45:00,Serie A,home,draw,False,1.7,0.7518616425591511,0.2781647923505568
2025-03-16 14:00:00,Serie A,home,home,True,2.35,0.5289065381069089,0.24293036455123596
2025-03-16 15:15:00,La Liga,away,away,True,2.35,0.5965557098994241,0.40190591826364663
2025-03-16 15:20:00,Bundesliga,away,away,True,2.4,0.5082633613241364,0.21983206717792725
2025-03-16 15:30:00,Primeira Liga,home,draw,False,1.85,0.857578968745103,0.5865210921784405
2025-03-16 15:30:00,Primeira Liga,home,home,True,2.4,0.6472952681744972,0.5535086436187933
2025-03-16 16:15:00,Ligue 1,home,away,False,2.35,0.5179824071102447,0.21725865670907507
2025-03-16 17:30:00,La Liga,home,away,False,2.25,0.5515206494517001,0.2409214612663253
2025-03-16 17:30:00,La Liga,home,draw,False,2.3,0.5388216980201129,0.2392899054462596
2025-03-16 20:00:00,La Liga,away,away,True,2.2,0.5916779829092135,0.30169156240026984
2025-03-29 14:00:00,Serie A,home,draw,False,1.67,0.8900231492148647,0.4863386591888239
2025-03-29 14:30:00,Bundesliga,home,away,False,1.65,0.7810319045420394,0.28870264249436506
2025-03-29 14:30:00,Bundesliga,away,home,False,2.35,0.5310472456496532,0.247961027276685
2025-03-29 14:30:00,Bundesliga,home,draw,False,2.35,0.6456522426555414,0.5172827702405225
2025-03-29 17:00:00,Serie A,home,home,True,1.53,0.7901223546399736,0.20888720259915972
2025-03-29 17:30:00,La Liga,home,away,False,2.0,0.6712320583766864,0.34246411675337285
2025-03-29 20:05:00,Ligue 1,home,home,True,1.9,0.642232045415155,0.22024088628879435
2025-03-30 13:00:00,Ligue 1,home,away,False,2.0,0.6152913665052068,0.23058273301041354
2025-03-30 15:15:00,Ligue 1,away,home,False,2.4,0.5545675501623716,0.33096212038969175
2025-03-30 16:30:00,La Liga,home,home,True,2.0,0.6099007328345651,0.21980146566913028
2025-03-30 17:00:00,Primeira Liga,away,away,True,1.57,0.7689227664277555,0.20720874329157613
2025-03-31 18:45:00,Serie A,home,draw,False,1.83,0.7106670848008517,0.3005207651855588
2025-04-01 19:15:00,Primeira Liga,away,away,True,2.1,0.600608821243504,0.2612785246113585
2025-04-04 18:45:00,Serie A,home,home,True,2.3,0.6236167006359553,0.434318411462697
2025-04-05 13:30:00,Bundesliga,away,away,True,2.15,0.621320265352647,0.335838570508191
2025-04-05 13:30:00,Bundesliga,away,away,True,2.45,0.49757221363618864,0.2190519234086623
2025-04-05 16:30:00,Bundesliga,home,home,True,2.25,0.5429742038710997,0.22169195870997438
2025-04-05 17:00:00,Ligue 1,away,home,False,1.75,0.7381282334643794,0.291724408562664
2025-04-05 18:45:00,Serie A,home,draw,False,1.85,0.7234401681248657,0.3383643110310015
2025-04-06 12:00:00,La Liga,away,away,True,2.35,0.6454921365407742,0.5169065208708195
2025-04-06 14:30:00,Primeira Liga,home,away,False,2.2,0.647907102830749,0.4253956262276479
2025-04-06 15:15:00,Ligue 1,home,away,False,1.8,0.6715498147372511,0.2087896665270519
2025-04-06 18:45:00,Serie A,home,draw,False,2.45,0.5168345077626156,0.26624454401840847
2025-04-07 17:45:00,Primeira Liga,home,draw,False,2.4,0.6637708370885059,0.5930500090124142
