date,league,side,odds,gap,n_factors,won,p_elo,odds_bucket,gap_bucket
2025-05-10 13:30:00,Bundesliga,away,2.3,91,15,True,0.6888124722418416,2.20-2.30,90-100
2025-05-10 16:30:00,La Liga,away,2.38,121,21,True,0.695123082001334,2.30-2.40,110+
2025-05-15 17:00:00,La Liga,away,2.3,99,16,False,0.6110053306385226,2.20-2.30,90-100
2025-05-15 19:30:00,La Liga,away,2.5,100,20,True,0.7190607728719685,2.40-2.50,90-100
2025-05-17 13:30:00,Bundesliga,away,2.5,88,17,True,0.6454968253547391,2.40-2.50,80-90
2025-05-17 18:45:00,Serie A,away,2.25,132,23,True,0.7165072067949292,2.20-2.30,110+
2025-05-17 19:00:00,Ligue 1,away,2.2,110,19,False,0.6162547490080601,2.20-2.30,100-110
2025-05-18 18:45:00,Serie A,away,2.4,140,24,False,0.6685249341268933,2.30-2.40,110+
2025-05-25 12:00:00,La Liga,away,2.2,111,21,True,0.7394806942989773,2.20-2.30,110+
2025-05-25 18:45:00,Serie A,away,2.25,96,17,True,0.6618844204173603,2.20-2.30,90-100
2025-08-23 14:00:00,Premier League,away,2.2,87,18,False,0.610515339028444,2.20-2.30,80-90
2025-08-23 15:00:00,La Liga,away,2.45,95,19,False,0.5919371278142727,2.40-2.50,90-100
2025-08-24 13:00:00,Premier League,away,2.35,89,16,False,0.5849892154173695,2.30-2.40,80-90
2025-08-30 13:30:00,Bundesliga,away,2.45,118,21,True,0.6833238277232616,2.40-2.50,110+
2025-08-30 14:00:00,Premier League,away,2.3,93,16,True,0.6134410869573534,2.20-2.30,90-100
2025-08-31 15:00:00,La Liga,away,2.45,122,24,False,0.682717898099266,2.40-2.50,110+
2025-08-31 16:30:00,Serie A,away,2.3,95,16,False,0.6534420786493467,2.20-2.30,90-100
2025-09-23 19:30:00,La Liga,away,2.3,109,18,True,0.7400751716625986,2.20-2.30,100-110
2025-09-27 14:15:00,La Liga,away,2.2,93,19,False,0.6544964399840991,2.20-2.30,90-100
2025-09-27 16:30:00,Bundesliga,away,2.2,113,21,True,0.665253362671576,2.20-2.30,110+
2025-10-04 17:00:00,Primeira Liga,away,2.5,89,16,True,0.6805089922791203,2.40-2.50,80-90
2025-10-05 13:00:00,Serie A,away,2.45,131,22,True,0.6856402014089511,2.40-2.50,110+
2025-10-18 13:30:00,Bundesliga,away,2.35,135,23,True,0.6269749009361857,2.30-2.40,110+
2025-10-19 10:30:00,Serie A,away,2.38,100,16,False,0.6320519191254675,2.30-2.40,90-100
2025-10-26 19:45:00,Serie A,away,2.25,109,20,False,0.5969638919421048,2.20-2.30,100-110
2025-11-01 15:30:00,Primeira Liga,away,2.2,90,14,True,0.633432078999149,2.20-2.30,80-90
2025-11-08 14:30:00,Bundesliga,away,2.4,81,18,False,0.6570996242606115,2.30-2.40,80-90
2025-11-09 16:15:00,Ligue 1,away,2.25,99,17,False,0.6742881925559254,2.20-2.30,90-100
2025-11-22 14:00:00,Serie A,away,2.25,91,14,True,0.6641643560729131,2.20-2.30,90-100
2025-11-23 13:00:00,La Liga,away,2.2,102,18,False,0.621748532024756,2.20-2.30,100-110
2025-11-23 14:00:00,Premier League,away,2.4,104,17,True,0.7158779351822332,2.30-2.40,100-110
2025-11-28 19:30:00,Bundesliga,away,2.25,96,19,False,0.678636207690591,2.20-2.30,90-100
2025-12-03 19:30:00,Premier League,away,2.35,96,17,True,0.6795669548582104,2.30-2.40,90-100
2025-12-06 18:00:00,Primeira Liga,away,2.4,105,16,True,0.6788161731427145,2.30-2.40,100-110
2025-12-12 19:30:00,Bundesliga,away,2.38,145,24,False,0.6953536640649214,2.30-2.40,110+
2025-12-14 20:30:00,Primeira Liga,away,2.4,104,16,False,0.6231354167838193,2.30-2.40,100-110
2025-12-15 20:00:00,La Liga,away,2.5,102,17,False,0.6035710181818329,2.40-2.50,100-110
2025-12-27 15:00:00,Premier League,away,2.2,93,16,False,0.739391083227553,2.20-2.30,90-100
2026-01-04 11:30:00,Serie A,away,2.2,107,20,True,0.6585598148385299,2.20-2.30,100-110
2026-01-07 19:30:00,Premier League,away,2.25,135,24,False,0.7149122316381458,2.20-2.30,110+
2026-01-11 15:15:00,La Liga,away,2.3,111,19,False,0.6825397339190631,2.20-2.30,110+
