features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_adv+xg+elo+standings+rest,5,48,0.08,3.0,678,45.3,2.17,2.64,1026.37
form_basic+xg+elo,3,36,0.15,2.5,246,47.6,2.17,-1.33,986.66
form_adv+xg+standings+market_ext,4,42,0.2,2.2,89,53.9,2.17,0.38,1003.76
form_basic+form_adv+xg+elo,4,51,0.08,3.0,651,45.2,2.16,0.39,1003.89
form_basic+xg+rest+market_ext,4,36,0.1,2.5,382,49.5,2.15,-2.0,980.02
form_basic+form_adv+standings,3,40,0.08,2.5,425,48.7,2.15,-2.49,975.09
xg,1,17,0.08,2.5,444,49.1,2.15,-0.66,993.39
xg,1,17,0.2,3.0,362,43.6,2.15,-1.39,986.07
form_basic+form_adv+elo+rest+market_ext,5,42,0.08,2.2,193,53.9,2.14,-1.81,981.93
form_adv+elo+market_ext,3,25,0.03,2.2,272,54.0,2.14,5.55,1055.46
xg,1,17,0.03,3.0,962,45.8,2.13,-1.27,987.34
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.12,3.0,544,44.1,2.13,-0.86,991.43
elo+standings,2,16,0.2,2.2,48,52.1,2.11,0.16,1001.58
form_basic+form_adv+elo+standings+rest,5,48,0.05,2.2,271,53.9,2.11,1.27,1012.67
xg+elo+market_ext,3,24,0.05,3.0,794,45.1,2.11,-0.95,990.45
form_adv+xg+elo,3,37,0.03,3.0,806,45.7,2.1,-0.13,998.71
form_adv+xg+market_ext,3,34,0.08,2.5,444,49.8,2.1,-0.82,991.75
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.15,2.5,279,48.0,2.1,0.4,1004.0
form_basic+xg+standings+market_ext,4,41,0.03,3.0,852,45.5,2.1,-0.72,992.83
form_adv+xg+market_ext,3,34,0.05,2.5,534,50.0,2.09,-0.82,991.78
xg+elo+rest+market_ext,4,27,0.03,2.2,320,54.7,2.09,0.63,1006.3
xg+rest,2,20,0.2,2.5,190,47.9,2.09,-0.44,995.65
form_basic+form_adv+elo+market_ext,4,39,0.08,2.5,378,48.9,2.08,1.16,1011.6
form_adv+elo+rest,3,26,0.12,3.0,472,43.6,2.07,0.36,1003.64
elo+rest,2,11,0.15,3.0,425,44.5,2.06,0.2,1001.95
xg+elo,2,22,0.15,3.0,482,44.4,2.06,-2.28,977.24
form_adv+xg+elo+standings+rest,5,48,0.15,2.2,138,53.6,2.05,0.31,1003.07
form_basic+xg,2,31,0.08,3.0,681,44.5,2.05,-0.85,991.49
form_adv+standings+rest,3,29,0.1,2.5,320,48.1,2.05,1.44,1014.42
form_adv+elo,2,23,0.03,3.0,774,45.0,2.04,5.69,1056.94
form_basic+form_adv+elo+rest,4,40,0.08,2.2,208,53.8,2.04,-0.5,995.0
form_basic+form_adv+xg+elo,4,51,0.2,3.0,334,42.8,2.04,-1.36,986.37
form_basic+xg+standings+market_ext,4,41,0.05,2.5,487,49.7,2.03,-0.61,993.87
form_basic+form_adv+xg+elo+rest,5,54,0.1,2.5,346,49.1,2.03,-0.12,998.78
form_basic+xg+standings+market_ext,4,41,0.03,2.5,537,50.1,2.02,-0.59,994.06
standings,1,11,0.08,3.0,546,43.8,2.02,-1.43,985.72
form_adv+xg,2,32,0.03,3.0,936,45.7,2.02,-4.8,952.02
form_adv+standings+rest,3,29,0.08,3.0,635,43.9,2.01,0.97,1009.69
xg+elo+market_ext,3,24,0.1,2.2,199,53.8,2.01,1.01,1010.09
form_basic+xg+elo+standings+market_ext,5,46,0.05,3.0,782,45.3,2.0,0.75,1007.53
form_adv+rest,2,21,0.12,3.0,515,43.7,2.0,0.17,1001.75
xg,1,17,0.12,2.5,352,48.6,2.0,-0.57,994.27
form_basic+form_adv+standings,3,40,0.1,2.5,374,48.4,2.0,-2.77,972.33
form_basic+xg+elo,3,36,0.08,2.5,385,49.1,2.0,-0.88,991.18
form_basic+elo+standings+rest,4,33,0.1,2.2,169,53.3,1.99,-0.47,995.3
form_adv+standings+rest+market_ext,4,31,0.08,3.0,656,44.2,1.99,2.31,1023.05
xg+rest,2,20,0.1,3.0,626,44.7,1.99,-2.52,974.8
standings+market_ext,2,13,0.03,2.2,218,55.0,1.99,-0.37,996.28
xg+standings+rest,3,28,0.08,2.5,441,48.8,1.99,-0.47,995.34
form_adv+xg+elo+standings+rest,5,48,0.08,2.2,234,54.3,1.99,1.32,1013.15
form_adv+xg+elo+market_ext,4,39,0.12,2.2,144,54.2,1.98,-0.23,997.7
xg+elo+rest,3,25,0.03,2.2,310,54.5,1.97,-0.04,999.58
form_basic+form_adv+xg+standings+market_ext,5,56,0.2,3.0,359,42.6,1.96,-1.33,986.66
xg+elo+rest,3,25,0.15,2.5,255,48.2,1.96,-0.74,992.58
form_adv+xg+standings+rest+market_ext,5,45,0.1,2.5,444,48.6,1.95,-0.83,991.69
form_adv+xg+standings+rest,4,43,0.08,3.0,755,44.6,1.95,-0.15,998.51
elo+standings,2,16,0.1,3.0,525,43.4,1.95,-0.73,992.66
form_basic+xg+elo,3,36,0.03,2.5,538,49.4,1.94,-0.98,990.23
form_adv+standings,2,26,0.08,2.2,179,53.6,1.94,-0.85,991.45
xg+standings+rest,3,28,0.05,2.5,515,49.1,1.94,-0.18,998.24
form_basic+xg+elo,3,36,0.1,2.5,341,49.0,1.93,-1.0,990.05
form_basic+form_adv+elo+market_ext,4,39,0.03,2.5,510,49.4,1.93,1.31,1013.12
rest,1,6,0.03,2.5,521,48.9,1.93,-1.3,986.98
elo+rest+market_ext,3,13,0.12,3.0,514,43.8,1.92,0.92,1009.23
form_adv+xg+elo+rest,4,40,0.2,3.0,315,43.2,1.9,-0.49,995.11
form_adv+xg+elo+standings,4,45,0.12,2.2,157,54.1,1.9,1.02,1010.21
xg+elo,2,22,0.08,2.2,228,53.9,1.9,1.07,1010.71
form_adv+xg+elo+market_ext,4,39,0.15,2.5,232,48.3,1.9,-0.3,997.02
form_basic+xg+standings+market_ext,4,41,0.15,3.0,468,43.8,1.88,-1.08,989.17
xg+market_ext,2,19,0.03,3.0,936,45.4,1.86,-4.33,956.69
elo+standings,2,16,0.08,3.0,570,44.0,1.85,0.91,1009.13
form_adv+xg+standings+market_ext,4,42,0.15,3.0,541,43.8,1.85,0.14,1001.44
form_adv+xg+elo+market_ext,4,39,0.08,3.0,629,44.8,1.85,0.11,1001.09
xg+elo+rest,3,25,0.2,2.5,180,47.8,1.85,-0.53,994.68
xg+elo,2,22,0.12,3.0,567,44.4,1.85,-2.53,974.67
xg+elo+rest+market_ext,4,27,0.03,3.0,872,45.4,1.83,-1.7,982.98
form_adv+market_ext,2,20,0.2,3.0,324,41.0,1.82,-1.23,987.73
form_basic+xg+elo+rest+market_ext,5,41,0.05,2.5,487,49.3,1.82,-0.79,992.09
form_basic+form_adv+xg+elo,4,51,0.1,2.5,352,48.9,1.81,0.98,1009.76
form_adv+elo+standings+rest+market_ext,5,36,0.05,2.2,234,53.8,1.81,3.04,1030.45
form_basic+xg+standings+market_ext,4,41,0.12,3.0,551,44.3,1.8,-1.06,989.4
form_basic+xg+rest,3,34,0.03,2.5,569,49.7,1.79,-2.21,977.88
xg+elo+rest+market_ext,4,27,0.15,3.0,479,43.8,1.79,-2.21,977.91
form_basic+xg,2,31,0.05,3.0,818,45.1,1.78,-0.47,995.32
standings+market_ext,2,13,0.03,2.5,414,49.5,1.78,3.2,1031.96
rest+market_ext,2,8,0.08,2.5,378,48.4,1.77,0.65,1006.47
form_adv+rest,2,21,0.1,3.0,591,44.0,1.77,0.01,1000.12
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.03,2.5,544,50.0,1.77,1.47,1014.73
form_adv+xg+elo+standings+rest,5,48,0.03,3.0,840,45.5,1.76,1.46,1014.57
xg+rest,2,20,0.03,2.5,577,49.7,1.75,0.34,1003.4
form_basic+xg+standings+rest+market_ext,5,44,0.03,2.5,579,49.9,1.75,0.57,1005.65
xg+rest+market_ext,3,22,0.05,2.2,305,54.1,1.75,-2.04,979.63
standings+rest+market_ext,3,16,0.03,2.5,457,49.0,1.75,1.35,1013.53
form_basic+form_adv+xg+elo,4,51,0.15,3.0,457,43.8,1.74,-0.83,991.72
form_basic+xg+standings+market_ext,4,41,0.08,2.5,412,49.3,1.73,-0.71,992.88
xg+standings,2,25,0.08,2.5,453,48.8,1.73,-1.35,986.51
form_basic+xg+elo,3,36,0.05,2.5,468,49.1,1.72,-1.22,987.8
form_basic+form_adv+elo+rest+market_ext,5,42,0.15,2.5,240,47.5,1.71,-0.16,998.35
form_basic+form_adv+xg+elo+standings,5,59,0.1,3.0,579,44.4,1.71,-0.05,999.5
form_basic+form_adv+xg+elo+standings+rest,6,62,0.2,2.2,81,53.1,1.71,-0.16,998.44
form_adv+rest+market_ext,3,23,0.08,2.5,388,49.0,1.7,1.74,1017.35
form_basic+elo+standings+rest+market_ext,5,35,0.08,2.2,226,53.5,1.69,-0.36,996.37
form_basic+form_adv+elo,3,37,0.08,2.5,349,48.1,1.69,1.96,1019.57
xg+standings+rest+market_ext,4,30,0.12,3.0,598,44.5,1.69,-3.44,965.55
form_adv+xg+elo+standings+rest+market_ext,6,50,0.15,3.0,500,43.8,1.69,0.36,1003.61
form_adv+xg+elo,3,37,0.15,2.2,113,54.0,1.69,0.06,1000.63
form_adv+elo+rest,3,26,0.15,2.2,86,53.5,1.69,0.26,1002.57
form_basic+form_adv+xg+standings+rest,5,57,0.03,2.5,575,49.9,1.68,-0.95,990.53
elo+rest,2,11,0.1,2.2,202,54.0,1.66,1.23,1012.31
form_adv+elo+standings+rest+market_ext,5,36,0.05,3.0,730,44.4,1.66,4.54,1045.36
form_basic+form_adv+elo+standings+market_ext,5,47,0.1,2.2,194,53.1,1.66,-0.08,999.23
standings,1,11,0.05,2.5,369,49.3,1.65,2.88,1028.76
xg,1,17,0.08,3.0,737,44.5,1.65,-2.53,974.72
elo+rest+market_ext,3,13,0.08,3.0,624,44.2,1.64,1.18,1011.77
form_adv+xg+elo,3,37,0.15,3.0,419,43.7,1.62,-2.14,978.61
form_adv+xg+standings+rest,4,43,0.12,3.0,617,44.1,1.62,-0.8,992.03
form_adv+xg+elo+rest+market_ext,5,42,0.05,2.2,293,54.6,1.62,-0.2,998.02
xg+elo+standings,3,30,0.08,2.2,223,53.8,1.62,0.47,1004.71
form_basic+xg,2,31,0.2,3.0,335,42.1,1.6,-1.77,982.33
form_basic+xg+standings+rest+market_ext,5,44,0.08,3.0,711,44.9,1.6,-2.23,977.71
xg+elo+standings,3,30,0.03,3.0,885,45.3,1.6,3.53,1035.3
xg+rest+market_ext,3,22,0.2,2.5,195,48.2,1.59,-0.81,991.88
form_basic+xg+elo+market_ext,4,38,0.05,2.5,442,48.6,1.57,-2.39,976.14
form_basic+form_adv+standings,3,40,0.03,3.0,862,45.4,1.56,-3.44,965.6
form_adv+xg+rest,3,35,0.12,2.2,189,55.0,1.56,0.25,1002.52
form_basic+rest,2,20,0.05,2.5,504,49.2,1.55,-2.88,971.21
form_adv+xg+elo,3,37,0.05,3.0,733,45.0,1.55,-0.71,992.89
xg+elo,2,22,0.03,3.0,851,45.2,1.55,-1.85,981.52
form_basic+form_adv+elo+rest,4,40,0.05,2.5,441,49.0,1.55,2.19,1021.91
xg+elo,2,22,0.2,2.5,199,48.2,1.54,-0.8,991.96
form_basic+form_adv+xg+standings,4,54,0.03,2.5,609,50.1,1.52,0.27,1002.74
elo+market_ext,2,10,0.05,2.5,442,48.4,1.52,2.83,1028.26
form_adv+xg+elo+rest,4,40,0.15,2.5,246,48.0,1.5,-0.3,997.03
standings+market_ext,2,13,0.05,2.2,182,54.4,1.49,-0.99,990.13
form_adv+standings+rest,3,29,0.05,2.2,231,54.1,1.49,-1.37,986.34
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.15,3.0,467,43.5,1.48,-1.21,987.95
form_basic+xg,2,31,0.03,3.0,911,45.3,1.48,-0.8,991.99
xg+rest,2,20,0.05,2.5,518,49.6,1.47,0.63,1006.35
xg+rest,2,20,0.12,3.0,567,44.3,1.46,-2.87,971.35
form_adv+xg+elo+market_ext,4,39,0.05,3.0,740,44.9,1.45,-0.55,994.51
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.1,3.0,603,44.1,1.45,-0.24,997.59
form_basic+form_adv+xg+rest+market_ext,5,51,0.15,2.5,289,48.1,1.45,-0.83,991.74
form_basic+xg+elo+standings,4,44,0.15,3.0,468,43.2,1.45,-2.05,979.46
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.03,2.5,592,49.8,1.45,-1.56,984.42
form_basic+form_adv+xg+elo+standings+rest,6,62,0.15,3.0,471,43.7,1.44,-0.21,997.93
form_adv+xg+standings,3,40,0.05,2.5,528,49.2,1.44,1.64,1016.44
form_basic+form_adv+rest+market_ext,4,37,0.15,2.2,119,52.9,1.43,-0.56,994.4
form_adv+elo+rest+market_ext,4,28,0.03,3.0,810,44.7,1.43,2.6,1026.02
form_basic+xg,2,31,0.12,3.0,543,43.6,1.43,-1.19,988.12
form_adv+xg+rest,3,35,0.1,3.0,629,45.0,1.42,-0.69,993.14
form_basic+xg+elo+rest+market_ext,5,41,0.08,3.0,687,44.1,1.42,-2.78,972.21
form_basic+elo+market_ext,3,24,0.1,2.5,326,48.5,1.41,-0.21,997.91
form_basic+rest,2,20,0.08,2.5,411,48.4,1.41,-3.21,967.94
xg+standings+market_ext,3,27,0.1,2.5,411,48.4,1.39,-2.96,970.37
form_basic+form_adv+xg+elo+market_ext,5,53,0.08,3.0,681,44.9,1.39,-0.58,994.15
form_basic+form_adv+elo+market_ext,4,39,0.05,2.2,260,53.8,1.39,0.61,1006.1
form_adv+xg+standings+rest+market_ext,5,45,0.12,2.5,394,48.2,1.39,-1.18,988.15
xg+elo,2,22,0.05,3.0,777,44.7,1.38,-2.56,974.36
form_basic+xg+rest,3,34,0.12,2.5,322,48.1,1.38,-1.28,987.2
market_ext,1,5,0.1,2.5,304,47.0,1.38,-2.05,979.53
form_adv+xg,2,32,0.05,3.0,847,45.2,1.37,-4.93,950.68
form_adv+xg+standings+rest,4,43,0.1,2.5,415,48.4,1.37,0.3,1002.98
form_basic+form_adv+xg+elo+standings,5,59,0.03,3.0,843,45.2,1.36,0.57,1005.74
xg,1,17,0.12,3.0,601,43.9,1.36,-2.86,971.44
form_basic+form_adv+standings,3,40,0.08,3.0,699,44.1,1.36,-4.11,958.92
elo+standings+rest+market_ext,4,21,0.12,2.2,129,53.5,1.35,-0.53,994.72
form_basic+xg+standings+market_ext,4,41,0.15,2.5,260,48.5,1.35,-0.88,991.24
form_basic+form_adv+xg+standings,4,54,0.05,2.5,556,50.0,1.35,0.32,1003.17
xg,1,17,0.05,2.2,325,53.8,1.34,-3.46,965.4
elo+standings,2,16,0.2,3.0,289,41.5,1.34,-2.0,980.04
form_adv+xg+rest,3,35,0.1,2.2,220,54.5,1.34,-1.11,988.86
market_ext,1,5,0.08,2.5,349,47.0,1.33,-2.73,972.75
form_basic+form_adv+xg+elo+market_ext,5,53,0.03,2.5,551,50.3,1.33,-0.19,998.1
form_basic+xg+elo+rest,4,39,0.05,2.5,458,48.9,1.33,-2.56,974.41
xg+elo+rest+market_ext,4,27,0.12,3.0,548,44.0,1.31,-2.49,975.07
form_basic+xg+elo+standings+rest+market_ext,6,49,0.05,3.0,771,44.6,1.31,-1.02,989.84
form_basic+xg+elo+rest+market_ext,5,41,0.03,3.0,863,45.0,1.3,-3.0,970.01
xg+elo+rest+market_ext,4,27,0.1,2.2,200,53.5,1.3,0.01,1000.06
form_adv+standings+rest+market_ext,4,31,0.03,3.0,830,44.7,1.3,1.99,1019.85
xg+elo+standings,3,30,0.15,2.2,137,52.6,1.29,-0.77,992.3
market_only,0,3,0.03,3.0,856,44.0,1.28,-1.88,981.2
elo+standings+rest,3,19,0.12,3.0,500,43.6,1.27,-0.85,991.47
xg+elo+rest,3,25,0.15,2.2,131,52.7,1.26,-0.7,992.99
form_basic+form_adv+elo+standings+rest,5,48,0.2,2.2,73,52.1,1.26,-0.59,994.12
market_ext,1,5,0.05,2.5,435,47.4,1.26,-2.83,971.69
form_basic+form_adv+xg+elo+standings+rest,6,62,0.08,3.0,676,44.5,1.25,-1.21,987.91
form_basic+elo+standings,3,30,0.08,2.5,361,48.2,1.25,-1.89,981.12
xg+elo+rest+market_ext,4,27,0.08,3.0,683,44.4,1.25,-2.55,974.51
form_adv+xg+elo+rest+market_ext,5,42,0.08,2.2,238,54.2,1.23,-0.58,994.24
form_basic+xg+market_ext,3,33,0.08,2.2,239,54.4,1.23,-1.54,984.58
xg+elo+rest,3,25,0.05,2.2,271,53.9,1.23,-0.63,993.66
xg+elo+market_ext,3,24,0.05,2.2,275,53.8,1.23,1.27,1012.65
form_adv+elo+standings+rest+market_ext,5,36,0.03,2.2,268,53.7,1.21,2.89,1028.93
xg+elo+rest+market_ext,4,27,0.08,2.2,229,53.7,1.2,0.01,1000.05
form_adv+standings+rest,3,29,0.03,2.2,268,54.1,1.2,-1.27,987.29
form_basic+form_adv+xg+rest,4,49,0.05,2.5,493,49.3,1.19,-3.4,966.04
form_basic+xg,2,31,0.1,3.0,612,43.8,1.19,-1.91,980.92
form_adv+market_ext,2,20,0.03,2.2,319,54.2,1.19,1.07,1010.66
xg+market_ext,2,19,0.05,3.0,846,45.0,1.19,-4.44,955.61
form_basic+form_adv+xg+standings+market_ext,5,56,0.03,3.0,881,45.4,1.18,1.17,1011.66
form_basic+form_adv+xg+elo+standings+rest,6,62,0.1,3.0,610,44.3,1.17,-1.19,988.07
form_basic+form_adv+xg+standings+market_ext,5,56,0.15,3.0,459,42.9,1.16,-1.7,982.99
standings,1,11,0.1,3.0,483,42.7,1.16,-3.06,969.36
form_adv+rest+market_ext,3,23,0.05,3.0,795,44.5,1.15,1.08,1010.82
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.05,2.5,460,48.9,1.14,-2.27,977.26
form_adv+standings+rest+market_ext,4,31,0.12,2.2,147,53.7,1.13,-0.13,998.71
form_adv+xg+standings+rest+market_ext,5,45,0.08,2.5,505,48.7,1.11,-1.03,989.71
form_basic+form_adv+elo+market_ext,4,39,0.2,3.0,327,41.6,1.11,-1.84,981.58
form_adv+xg+rest,3,35,0.05,2.5,515,49.7,1.11,-1.07,989.33
xg+elo+rest,3,25,0.08,2.5,389,48.3,1.11,-0.5,995.01
form_basic+form_adv+elo+market_ext,4,39,0.05,3.0,770,44.4,1.1,-1.55,984.53
elo+rest+market_ext,3,13,0.1,3.0,557,43.6,1.1,1.0,1010.03
xg+rest,2,20,0.08,3.0,693,44.6,1.1,-3.22,967.82
form_adv+xg+standings,3,40,0.12,3.0,591,43.5,1.09,-0.33,996.68
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.05,3.0,758,44.7,1.09,-0.27,997.35
form_adv+xg+elo+standings+market_ext,5,47,0.03,3.0,842,45.2,1.09,2.66,1026.59
form_basic+form_adv+xg,3,46,0.1,3.0,623,44.6,1.09,-2.89,971.09
form_basic+xg+elo+standings+rest,5,47,0.15,2.5,247,47.4,1.08,-0.94,990.62
form_basic+elo+standings+rest+market_ext,5,35,0.03,3.0,838,45.0,1.08,-4.86,951.4
form_adv+xg+standings+rest,4,43,0.08,2.5,464,48.7,1.07,0.46,1004.61
form_basic+elo+standings,3,30,0.03,2.5,486,48.6,1.07,-1.76,982.41
form_adv+standings+rest,3,29,0.12,2.2,137,53.3,1.06,-0.68,993.16
form_basic+form_adv+standings,3,40,0.1,3.0,630,43.7,1.06,-4.35,956.46
form_basic+xg+elo+rest,4,39,0.08,2.5,397,48.6,1.05,-2.74,972.55
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.03,2.5,531,49.2,1.04,3.46,1034.56
standings+rest,2,14,0.2,3.0,287,42.2,1.03,-1.51,984.9
form_adv+rest+market_ext,3,23,0.12,2.2,145,53.8,1.02,0.04,1000.4
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.05,3.0,759,44.5,1.02,0.35,1003.52
form_basic+xg+elo+standings+market_ext,5,46,0.08,2.2,234,53.8,1.01,-1.28,987.22
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.08,2.5,408,48.5,1.01,0.27,1002.72
xg+rest+market_ext,3,22,0.03,3.0,889,45.3,1.0,-3.39,966.09
form_adv+market_ext,2,20,0.08,3.0,675,43.3,1.0,-0.97,990.35
form_basic+form_adv+elo+standings+rest,5,48,0.12,3.0,520,44.0,1.0,0.94,1009.41
xg+standings,2,25,0.03,2.5,568,49.1,0.98,-1.35,986.47
form_basic+form_adv+xg+standings,4,54,0.1,2.5,408,48.3,0.98,-1.2,988.02
form_basic+form_adv+xg+elo+market_ext,5,53,0.1,3.0,610,44.4,0.98,-1.12,988.79
elo+standings+rest+market_ext,4,21,0.05,2.2,222,53.6,0.97,-0.1,998.95
elo+rest+market_ext,3,13,0.03,2.5,479,48.6,0.97,6.83,1068.3
form_adv+xg+standings+rest,4,43,0.03,3.0,945,45.3,0.95,0.3,1003.05
form_adv+xg+standings+market_ext,4,42,0.05,3.0,878,44.9,0.95,-1.81,981.91
form_adv+rest,2,21,0.08,3.0,655,44.0,0.95,-0.63,993.71
form_basic+form_adv+xg+elo+market_ext,5,53,0.12,3.0,554,44.0,0.95,-1.82,981.77
form_basic+xg+market_ext,3,33,0.08,3.0,709,44.6,0.94,-2.64,973.58
form_basic+xg+standings+rest,4,42,0.03,3.0,861,44.8,0.93,-4.17,958.28
form_basic+standings+market_ext,3,27,0.03,2.5,526,49.0,0.93,-5.01,949.92
form_basic+form_adv+xg,3,46,0.12,2.2,181,54.1,0.92,-0.82,991.75
form_basic+form_adv+xg,3,46,0.1,2.5,375,49.3,0.92,-2.37,976.32
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.2,3.0,366,42.3,0.92,-2.41,975.9
form_adv+xg+elo,3,37,0.05,2.2,251,54.2,0.91,-1.85,981.49
xg+standings,2,25,0.05,2.5,524,48.9,0.91,-1.54,984.55
form_basic+form_adv+xg+market_ext,4,48,0.05,2.5,524,49.2,0.91,-2.04,979.62
form_basic+form_adv+xg+market_ext,4,48,0.2,3.0,368,42.1,0.9,-2.33,976.67
form_basic,1,17,0.03,2.5,572,49.3,0.89,-5.65,943.47
form_basic+form_adv+xg+standings+rest,5,57,0.05,2.5,519,49.5,0.89,-1.32,986.8
form_adv+elo+standings+rest+market_ext,5,36,0.03,3.0,800,44.4,0.88,4.24,1042.44
form_basic+form_adv+elo+market_ext,4,39,0.1,2.5,327,47.7,0.88,-0.15,998.51
form_basic+form_adv+xg+standings,4,54,0.12,3.0,592,43.6,0.88,-3.48,965.19
form_adv+xg+standings+rest,4,43,0.1,3.0,685,43.9,0.87,-1.21,987.86
xg+standings+rest,3,28,0.12,3.0,589,44.0,0.87,-3.42,965.77
form_basic+form_adv+elo+rest+market_ext,5,42,0.03,2.2,291,53.6,0.87,-2.08,979.21
standings+rest,2,14,0.15,2.2,109,53.2,0.87,-1.11,988.88
form_basic+xg+elo+standings+rest+market_ext,6,49,0.03,3.0,836,44.5,0.87,-1.27,987.31
form_adv+xg+elo+standings+rest,5,48,0.05,3.0,793,45.0,0.86,1.4,1013.98
elo+rest,2,11,0.12,3.0,533,44.5,0.86,-1.14,988.62
form_basic+elo+rest+market_ext,4,27,0.05,2.5,432,48.6,0.85,-0.9,990.99
form_basic+form_adv+xg+elo+rest,5,54,0.15,2.5,249,47.8,0.84,-1.73,982.71
xg+market_ext,2,19,0.08,2.5,434,48.6,0.83,-2.3,976.95
form_adv+xg+standings,3,40,0.08,3.0,725,44.3,0.82,0.05,1000.47
form_adv+standings+rest+market_ext,4,31,0.05,3.0,754,44.2,0.82,1.98,1019.76
xg+rest+market_ext,3,22,0.05,3.0,824,44.9,0.82,-3.48,965.15
form_adv+xg+standings+rest,4,43,0.12,2.5,372,48.1,0.82,-0.25,997.47
form_basic+xg+standings+rest,4,42,0.08,3.0,679,44.0,0.81,-4.09,959.06
form_basic+xg+elo+standings+rest,5,47,0.15,3.0,450,42.7,0.81,-3.7,963.01
xg+elo+rest,3,25,0.2,2.2,86,52.3,0.81,-1.21,987.85
form_basic+elo+standings+rest,4,33,0.08,2.2,196,52.6,0.81,-0.92,990.83
form_basic+xg+standings+rest,4,42,0.12,3.0,544,43.6,0.81,-3.97,960.31
form_basic+form_adv+xg,3,46,0.12,2.5,333,48.9,0.8,-2.08,979.17
form_basic+form_adv+xg+elo+market_ext,5,53,0.2,3.0,345,43.2,0.8,-1.33,986.75
xg+standings+rest+market_ext,4,30,0.05,3.0,847,45.0,0.79,-3.69,963.11
form_basic+form_adv+xg+elo+standings+rest,6,62,0.15,2.2,130,53.1,0.79,-0.43,995.74
elo+standings,2,16,0.12,2.2,112,52.7,0.79,-0.57,994.26
form_basic+elo,2,22,0.15,2.2,109,52.3,0.78,-0.81,991.93
form_adv+standings+rest,3,29,0.1,3.0,575,43.0,0.78,-0.19,998.1
xg+elo+market_ext,3,24,0.12,3.0,559,43.8,0.78,-1.98,980.23
form_basic+xg+elo+market_ext,4,38,0.1,2.5,335,47.5,0.78,-3.33,966.73
form_basic+form_adv+xg+standings,4,54,0.05,3.0,857,45.4,0.77,-2.55,974.45
form_adv+xg+market_ext,3,34,0.03,3.0,936,45.1,0.77,-3.16,968.38
form_adv,1,18,0.08,2.2,189,53.4,0.77,-0.05,999.5
form_basic+form_adv+xg+standings+rest,5,57,0.15,2.5,276,47.1,0.77,-1.52,984.83
elo+standings,2,16,0.05,3.0,673,44.0,0.76,-0.29,997.09
form_adv+xg+elo+rest+market_ext,5,42,0.05,3.0,805,45.0,0.75,0.36,1003.59
form_adv+xg,2,32,0.08,2.5,463,48.8,0.73,-4.06,959.35
form_basic+xg+elo+standings,4,44,0.2,3.0,348,42.2,0.73,-2.76,972.38
xg+rest+market_ext,3,22,0.03,2.2,345,53.9,0.72,-2.3,977.01
form_adv+xg+rest+market_ext,4,37,0.03,2.5,597,49.4,0.71,-4.28,957.24
form_basic+form_adv+xg+elo+standings+rest,6,62,0.03,2.5,558,49.1,0.71,3.43,1034.34
form_adv+market_ext,2,20,0.08,2.5,385,47.8,0.7,0.67,1006.71
form_adv+standings+rest,3,29,0.15,2.2,104,52.9,0.7,-1.4,986.02
form_basic+form_adv+xg+market_ext,4,48,0.03,2.5,581,49.2,0.67,-2.19,978.08
xg+elo+standings,3,30,0.05,2.2,284,53.5,0.65,-0.02,999.79
form_basic+xg+standings+rest+market_ext,5,44,0.1,3.0,636,44.0,0.65,-2.83,971.72
form_basic+elo+standings,3,30,0.05,2.5,442,48.2,0.64,-2.25,977.49
form_adv+xg+market_ext,3,34,0.1,3.0,673,44.3,0.64,-2.44,975.58
form_basic+elo+standings+rest+market_ext,5,35,0.12,2.2,172,52.9,0.64,-0.87,991.29
xg+elo+market_ext,3,24,0.03,3.0,875,44.7,0.64,-1.76,982.37
xg+standings,2,25,0.03,3.0,890,44.7,0.64,-5.86,941.4
form_basic+xg+elo+standings+market_ext,5,46,0.03,3.0,858,45.2,0.63,0.47,1004.74
form_basic+xg+standings+market_ext,4,41,0.2,3.0,333,41.7,0.62,-3.07,969.31
form_basic+form_adv+xg,3,46,0.12,3.0,565,44.1,0.62,-3.04,969.61
form_basic+xg+rest,3,34,0.2,3.0,348,42.2,0.62,-3.28,967.22
xg+elo+rest+market_ext,4,27,0.1,3.0,602,43.9,0.62,-3.17,968.29
form_basic+form_adv+xg+elo,4,51,0.12,3.0,543,43.6,0.62,-1.69,983.12
xg+elo+standings+market_ext,4,32,0.03,2.2,320,53.8,0.62,-2.16,978.35
form_adv+xg+elo,3,37,0.08,2.2,200,54.0,0.61,-1.56,984.36
