features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_basic+form_adv+elo,3,37,0.15,2.5,208,52.4,12.94,11.97,1119.7
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.15,2.5,253,52.6,12.93,11.83,1118.27
elo+rest+market_ext,3,13,0.12,2.5,277,53.1,12.78,14.62,1146.21
xg+elo+standings+rest+market_ext,5,35,0.2,2.5,193,52.3,12.68,12.49,1124.87
form_basic+form_adv+elo+standings+market_ext,5,47,0.12,2.5,303,52.5,12.58,9.65,1096.52
form_adv+elo+standings,3,31,0.1,2.5,295,53.2,12.56,11.67,1116.68
form_basic+form_adv+elo+rest+market_ext,5,42,0.2,2.2,68,58.8,12.54,11.12,1111.17
xg+elo+standings+rest,4,33,0.12,2.5,329,53.2,12.51,12.61,1126.13
form_adv+elo+standings+rest,4,34,0.08,2.5,365,53.2,12.47,13.01,1130.11
form_basic+form_adv+elo+standings,4,45,0.15,2.5,228,52.2,12.47,11.68,1116.78
form_adv+elo+rest,3,26,0.1,2.5,295,53.2,12.45,11.54,1115.4
xg+elo+standings+rest,4,33,0.15,2.5,270,52.6,12.31,12.71,1127.06
form_adv+elo+rest+market_ext,4,28,0.12,2.5,273,52.7,12.28,10.72,1107.17
form_adv+xg+elo+standings+rest,5,48,0.12,2.5,332,53.0,12.28,11.22,1112.21
form_adv+elo+standings,3,31,0.08,2.5,345,53.3,12.26,11.83,1118.25
form_basic+form_adv+elo+standings+market_ext,5,47,0.08,2.5,405,53.6,12.14,11.09,1110.87
form_basic+form_adv+xg+elo+standings,5,59,0.15,2.5,255,52.5,12.13,11.4,1114.02
form_adv+xg+standings,3,40,0.2,2.5,199,52.3,12.1,13.31,1133.12
form_adv+elo+standings+market_ext,4,33,0.2,3.0,312,45.8,12.06,13.65,1136.48
form_basic+form_adv+elo+standings+market_ext,5,47,0.1,2.5,359,52.9,12.04,9.82,1098.17
form_adv+xg+elo+standings,4,45,0.2,2.5,186,52.7,11.98,9.98,1099.78
form_adv+elo+rest+market_ext,4,28,0.1,2.5,314,52.9,11.97,11.29,1112.94
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.1,2.5,340,52.9,11.95,10.47,1104.73
form_adv+elo+market_ext,3,25,0.12,2.5,263,52.1,11.94,11.34,1113.41
form_adv+elo+standings+rest,4,34,0.15,2.2,102,57.8,11.93,8.26,1082.6
xg+elo+standings+rest,4,33,0.1,2.5,371,53.1,11.92,11.76,1117.63
elo+rest,2,11,0.15,2.2,124,58.9,11.87,9.56,1095.61
elo+rest+market_ext,3,13,0.08,2.5,349,53.3,11.84,13.44,1134.4
form_adv+elo+market_ext,3,25,0.15,2.5,216,51.9,11.82,11.06,1110.55
form_adv+elo+rest,3,26,0.12,2.5,259,52.1,11.81,10.51,1105.11
form_basic+form_adv+elo+standings,4,45,0.05,2.5,443,53.7,11.81,10.43,1104.31
form_adv+standings+rest+market_ext,4,31,0.2,2.5,158,51.9,11.68,9.76,1097.65
form_basic+form_adv+elo+standings,4,45,0.08,2.5,375,53.1,11.65,10.85,1108.53
form_adv+xg+elo+standings+rest,5,48,0.1,2.5,375,53.3,11.63,10.75,1107.54
elo,1,8,0.15,2.5,242,52.9,11.61,13.14,1131.44
xg+elo+standings+rest+market_ext,5,35,0.12,2.5,337,52.5,11.6,11.09,1110.9
form_basic+form_adv+elo,3,37,0.2,2.5,145,51.0,11.59,10.39,1103.87
form_adv+elo+market_ext,3,25,0.12,2.2,120,57.5,11.54,9.74,1097.39
form_adv+elo+standings,3,31,0.2,2.2,48,58.3,11.52,9.09,1090.95
form_basic+form_adv+elo+rest+market_ext,5,42,0.2,2.5,158,51.9,11.52,10.53,1105.35
form_basic+elo+rest,3,25,0.2,2.5,151,51.7,11.42,8.17,1081.71
form_adv+xg+elo,3,37,0.2,2.5,173,52.6,11.42,12.16,1121.64
form_adv+elo+rest,3,26,0.05,2.5,429,53.8,11.37,12.5,1124.97
rest+market_ext,2,8,0.15,2.5,192,52.6,11.36,7.35,1073.47
xg+elo+standings+rest+market_ext,5,35,0.15,2.5,281,52.3,11.14,11.51,1115.13
form_adv+xg+elo+standings+rest+market_ext,6,50,0.2,2.5,205,51.7,11.12,11.25,1112.54
form_adv+standings+market_ext,3,28,0.1,2.5,322,52.8,11.08,9.73,1097.31
form_adv+elo+standings+market_ext,4,33,0.2,2.2,51,56.9,11.07,9.18,1091.76
form_adv+xg+standings+market_ext,4,42,0.2,2.5,209,51.7,11.06,11.2,1112.01
form_adv+xg+elo+standings,4,45,0.2,2.2,84,58.3,11.04,8.88,1088.84
form_basic+elo,2,22,0.2,2.2,58,56.9,11.03,7.78,1077.77
form_adv+elo,2,23,0.05,2.5,412,52.9,11.01,14.95,1149.54
form_adv+rest+market_ext,3,23,0.2,2.5,160,51.2,11.01,7.83,1078.25
form_adv+elo+standings+rest+market_ext,5,36,0.08,2.5,342,52.6,11.0,12.52,1125.21
standings+rest,2,14,0.15,2.5,205,52.7,10.99,9.07,1090.71
