date,league,outcome,actual,ws_dominant,ws_weak,ws_gap,odds,p_elo,won,fold
2024-12-07 18:00:00,Primeira Liga,home,home,71,1,70,1.85,0.5821048443145187,True,1
2024-12-07 19:00:00,Eredivisie,away,away,142,3,139,1.34,0.7490408317472776,True,1
2024-12-07 19:45:00,Serie A,home,home,28,19,9,1.64,0.481931890602696,True,1
2024-12-07 19:45:00,Jupiler Pro League,home,home,29,13,16,1.92,0.5247913656609045,True,1
2024-12-07 20:00:00,La Liga,away,away,120,27,93,1.81,0.6186017744464304,True,1
2024-12-07 20:00:00,Ligue 1,away,away,113,7,106,1.77,0.6040769538546975,True,1
2024-12-08 11:30:00,Serie A,home,home,104,3,101,1.58,0.6705357570907469,True,1
2024-12-08 12:30:00,Jupiler Pro League,home,away,68,2,66,2.04,0.6019014617201207,False,1
2024-12-08 13:00:00,La Liga,away,away,82,2,80,2.12,0.579810892781522,True,1
2024-12-08 13:30:00,Eredivisie,away,away,17,4,13,3.05,0.49267610435335274,True,1
2024-12-08 13:30:00,Eredivisie,away,home,124,24,100,2.32,0.6420259074711278,False,1
2024-12-08 14:00:00,Serie B,home,away,77,1,76,1.72,0.5908572281077722,False,1
2024-12-08 14:00:00,Serie B,home,home,80,2,78,1.8,0.6874484171161327,True,1
2024-12-08 14:00:00,Serie B,away,home,27,8,19,3.74,0.49003506800480734,False,1
2024-12-08 14:00:00,Serie A,away,away,64,12,52,3.27,0.5854638446505533,True,2
2024-12-08 14:00:00,Ligue 1,home,home,72,11,61,1.44,0.6513840982083803,True,2
2024-12-08 14:30:00,Bundesliga,away,home,27,18,9,3.81,0.5150390358928614,False,2
2024-12-08 15:15:00,La Liga,home,home,31,21,10,2.14,0.517862337382413,True,2
2024-12-08 15:45:00,Eredivisie,away,away,130,7,123,1.83,0.7706546560139297,True,2
2024-12-08 16:00:00,Ligue 1,away,home,30,8,22,2.64,0.5301165487800279,False,2
2024-12-08 16:15:00,Serie B,home,home,107,8,99,1.78,0.6800938601811983,True,2
2024-12-08 17:30:00,Jupiler Pro League,home,home,98,2,96,1.36,0.6684884040725688,True,2
2024-12-08 18:15:00,Jupiler Pro League,away,home,37,4,33,2.39,0.5314037158384917,False,2
2024-12-08 19:45:00,Serie A,home,away,76,43,33,2.0,0.5572176462676165,False,2
2024-12-08 19:45:00,Ligue 1,away,away,125,12,113,1.74,0.6560908213898982,True,2
2024-12-08 20:00:00,La Liga,home,home,110,8,102,1.49,0.637558349271452,True,2
2024-12-09 19:45:00,Serie A,away,away,35,14,21,2.97,0.5316858027150896,True,2
2024-12-09 20:00:00,La Liga,home,home,27,10,17,1.89,0.5057656574202768,True,2
2024-12-09 20:15:00,Primeira Liga,away,home,14,11,3,2.96,0.4855327409572766,False,2
2024-12-13 19:00:00,Eredivisie,home,away,16,1,15,2.67,0.5320336166083901,False,2
2024-12-13 19:30:00,Bundesliga,away,home,28,12,16,3.5,0.5236209646379106,False,2
2024-12-13 19:45:00,Serie A,home,away,25,11,14,2.78,0.555054369714115,False,2
2024-12-13 20:00:00,La Liga,away,home,65,12,53,2.61,0.5527558601387372,False,2
2024-12-14 14:00:00,Serie A,away,away,145,6,139,1.66,0.7035558112721328,True,2
2024-12-14 14:00:00,Serie B,home,home,29,7,22,2.09,0.4922371167537896,True,2
