date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-01-27 17:30:00,Serie A,home,draw,False,2.37,0.5311337271504878,0.4212076583210604,0.26097832424888545,Fold1 (2H 2024-25)
2025-01-31 19:30:00,Bundesliga,home,home,True,2.38,0.6116414215964742,0.41929720071471116,0.4587300381540911,Fold1 (2H 2024-25)
2025-02-01 14:30:00,Bundesliga,home,draw,False,2.22,0.6828131022390759,0.45051194539249145,0.515638173909464,Fold1 (2H 2024-25)
2025-02-01 15:30:00,Primeira Liga,home,away,False,2.46,0.5519231896890334,0.40639082343301924,0.35810938107956725,Fold1 (2H 2024-25)
2025-02-01 18:00:00,Primeira Liga,home,away,False,2.24,0.6161173228389146,0.4469434832756632,0.37851282297119737,Fold1 (2H 2024-25)
2025-02-01 20:30:00,Primeira Liga,home,home,True,1.63,0.7432571177505558,0.6143667296786389,0.20979389320013553,Fold1 (2H 2024-25)
2025-02-02 15:15:00,La Liga,home,home,True,2.39,0.631647554687426,0.417910447761194,0.5114423630020548,Fold1 (2H 2024-25)
2025-02-02 16:15:00,Ligue 1,home,draw,False,1.91,0.6617847745398812,0.5223880597014926,0.2668451398334868,Fold1 (2H 2024-25)
2025-02-02 16:15:00,Ligue 1,home,home,True,2.1,0.7063167187110243,0.47595118449389806,0.48401084338530453,Fold1 (2H 2024-25)
2025-02-02 19:45:00,Ligue 1,home,home,True,2.1,0.595835828570726,0.4751131221719457,0.25409255346790904,Fold1 (2H 2024-25)
2025-02-08 14:30:00,Bundesliga,home,away,False,2.37,0.6356661828996591,0.42217898832684825,0.5056793456701605,Fold1 (2H 2024-25)
2025-02-08 14:30:00,Bundesliga,home,home,True,1.82,0.6777486066615297,0.5496094879953717,0.23314575433100426,Fold1 (2H 2024-25)
2025-02-08 19:45:00,Serie A,home,draw,False,2.44,0.5261178478155859,0.41025641025641024,0.28241225405049075,Fold1 (2H 2024-25)
2025-02-09 13:00:00,La Liga,home,away,False,2.47,0.5604611170910775,0.40413497171835383,0.38681667341986214,Fold1 (2H 2024-25)
2025-02-09 14:00:00,Serie A,home,home,True,2.0,0.7075182667323799,0.49930651872399445,0.417001861983461,Fold1 (2H 2024-25)
