ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
70,65,2.0,2.5,86,0.5348837209302325,19.686046511627897,130,0.4846153846153846,6.869230769230769,13.277638640429332
70,70,2.0,2.5,86,0.5348837209302325,19.686046511627897,130,0.4846153846153846,6.869230769230769,13.277638640429332
70,75,2.0,2.5,85,0.5294117647058824,18.44705882352941,130,0.4846153846153846,6.869230769230769,12.658144796380089
50,70,2.0,2.5,98,0.5102040816326531,14.265306122448981,161,0.4968944099378882,10.440993788819874,12.353149955634429
80,75,2.0,2.5,74,0.527027027027027,17.54054054054054,107,0.48598130841121495,7.056074766355142,12.298307653447841
80,80,2.0,2.5,74,0.527027027027027,17.54054054054054,107,0.48598130841121495,7.056074766355142,12.298307653447841
80,65,2.0,2.5,74,0.527027027027027,17.54054054054054,107,0.48598130841121495,7.056074766355142,12.298307653447841
80,70,2.0,2.5,74,0.527027027027027,17.54054054054054,107,0.48598130841121495,7.056074766355142,12.298307653447841
80,85,2.0,2.5,74,0.527027027027027,17.54054054054054,107,0.48598130841121495,7.056074766355142,12.298307653447841
70,80,2.0,2.5,85,0.5294117647058824,18.44705882352941,129,0.4806201550387597,6.069767441860465,12.258413132694937
60,70,2.0,2.5,92,0.5217391304347826,16.608695652173918,153,0.48366013071895425,7.359477124183006,11.984086388178461
70,85,2.0,2.5,82,0.524390243902439,16.987804878048784,126,0.47619047619047616,5.26190476190476,11.124854819976772
50,80,2.0,2.5,92,0.5108695652173914,14.217391304347826,146,0.4863013698630137,7.815068493150683,11.016229898749256
60,80,2.0,2.5,90,0.5111111111111111,14.200000000000005,142,0.4859154929577465,7.788732394366199,10.994366197183101
50,85,2.0,2.5,87,0.5172413793103449,15.321839080459771,133,0.48120300751879697,6.360902255639099,10.841370668049436
50,65,2.0,2.5,104,0.5096153846153846,14.096153846153847,176,0.48295454545454547,7.3068181818181825,10.701486013986015
50,75,2.0,2.5,96,0.5104166666666666,14.302083333333334,153,0.48366013071895425,7.065359477124182,10.683721405228757
60,75,2.0,2.5,91,0.5164835164835165,15.41758241758242,147,0.47619047619047616,5.5510204081632635,10.484301412872842
60,85,2.0,2.5,85,0.5176470588235295,15.329411764705887,132,0.4772727272727273,5.499999999999998,10.414705882352942
60,65,2.0,2.5,96,0.5104166666666666,14.229166666666668,160,0.475,5.475,9.852083333333333
90,65,2.0,2.5,54,0.5,10.240740740740737,78,0.48717948717948717,6.858974358974355,8.549857549857546
90,70,2.0,2.5,54,0.5,10.240740740740737,78,0.48717948717948717,6.858974358974355,8.549857549857546
90,75,2.0,2.5,54,0.5,10.240740740740737,78,0.48717948717948717,6.858974358974355,8.549857549857546
90,80,2.0,2.5,54,0.5,10.240740740740737,78,0.48717948717948717,6.858974358974355,8.549857549857546
90,85,2.0,2.5,54,0.5,10.240740740740737,78,0.48717948717948717,6.858974358974355,8.549857549857546
