gap,odds_min,ev_min,n_all,wr_all,flat_all,bk_all,n_f1,wr_f1,flat_f1,n_f2,wr_f2,flat_f2,kelly_f1,kelly_f2,avg_roi,dd_f2
80,2.2,0.08,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.15,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.0,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.03,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.05,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,-99.0,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.1,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.2,0.12,203,0.5073891625615764,19.49261083743842,3870.94,49,0.5510204081632653,29.91836734693877,60,0.5166666666666667,21.633333333333336,29.657543998969377,20.598356309763865,25.775850340136053,23.3
80,2.1,0.15,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.12,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.1,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.08,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.05,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.03,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,0.0,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
80,2.1,-99.0,281,0.498220640569395,14.330960854092528,3710.9,65,0.5692307692307692,30.78461538461539,86,0.5116279069767442,16.837209302325583,32.02816769746812,16.397496120862932,23.810912343470484,30.9
90,2.2,0.15,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.05,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,-99.0,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.12,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.1,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.08,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.03,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.2,0.0,155,0.535483870967742,25.13548387096775,3990.42,37,0.5675675675675675,31.83783783783784,45,0.4888888888888889,15.06666666666667,31.168570265973155,12.81257165576945,23.452252252252254,21.2
90,2.1,0.0,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,-99.0,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.15,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.12,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.1,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.08,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.05,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
90,2.1,0.03,219,0.5205479452054794,18.68036529680366,4072.06,51,0.5882352941176471,33.294117647058826,67,0.47761194029850745,8.925373134328359,33.29365846071103,6.778982223790894,21.109745390693593,29.7
70,2.2,-99.0,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.0,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.03,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.05,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.08,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.1,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.12,244,0.4959016393442623,16.54508196721311,3760.16,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.2,0.15,243,0.49382716049382713,16.057613168724277,3630.96,55,0.5454545454545454,28.29090909090909,70,0.4714285714285714,10.828571428571433,28.507964303760865,9.188215567192595,19.55974025974026,29.2
70,2.1,0.05,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.15,337,0.49258160237388726,12.721068249258169,3892.39,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.12,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.1,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.08,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.03,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,0.0,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
70,2.1,-99.0,338,0.4940828402366864,13.0828402366864,4030.89,73,0.5616438356164384,28.78082191780822,103,0.47572815533980584,8.184466019417478,31.123783150377417,6.585703808565042,18.482643968612848,37.9
80,1.9,-99.0,447,0.5078299776286354,10.049217002237134,3869.84,92,0.5434782608695652,19.89130434782609,141,0.524822695035461,13.156028368794322,20.86203437319734,12.942637335215196,16.523666358310205,38.1
80,1.9,0.05,447,0.5078299776286354,10.049217002237134,3869.84,92,0.5434782608695652,19.89130434782609,141,0.524822695035461,13.156028368794322,20.86203437319734,12.942637335215196,16.523666358310205,38.1
80,1.9,0.03,447,0.5078299776286354,10.049217002237134,3869.84,92,0.5434782608695652,19.89130434782609,141,0.524822695035461,13.156028368794322,20.86203437319734,12.942637335215196,16.523666358310205,38.1
80,1.9,0.0,447,0.5078299776286354,10.049217002237134,3869.84,92,0.5434782608695652,19.89130434782609,141,0.524822695035461,13.156028368794322,20.86203437319734,12.942637335215196,16.523666358310205,38.1
80,1.9,0.12,445,0.5078651685393258,10.116853932584267,3944.24,92,0.5434782608695652,19.89130434782609,140,0.5214285714285715,12.607142857142856,20.86203437319734,12.622195494683137,16.249223602484474,38.1
80,1.9,0.1,446,0.5067264573991032,9.86995515695067,3816.04,92,0.5434782608695652,19.89130434782609,140,0.5214285714285715,12.607142857142856,20.86203437319734,12.622195494683137,16.249223602484474,38.1
80,1.9,0.08,446,0.5067264573991032,9.86995515695067,3816.04,92,0.5434782608695652,19.89130434782609,140,0.5214285714285715,12.607142857142856,20.86203437319734,12.622195494683137,16.249223602484474,38.1
80,1.9,0.15,437,0.5034324942791762,9.462242562929058,3434.6,92,0.5434782608695652,19.89130434782609,138,0.5144927536231884,11.41304347826087,20.86203437319734,11.120470354033465,15.65217391304348,40.2
