date,match_id,league,outcome,actual,ws_home,ws_away,ws_dominant,ws_weak,ws_gap,odds,p_elo,p_market,won
2024-08-17 18:45:00,6275,Jupiler Pro League,away,away,4,99,99,4,95,2.33,0.5645299995680207,0.42834645669291344,True
2024-08-17 19:00:00,1998,Ligue 1,home,home,23,2,23,2,21,1.44,0.5,0.6942607775720708,True
2024-08-17 19:00:00,5005,Eredivisie,away,away,2,84,84,2,82,2.51,0.5459219227804837,0.39906103286384975,True
2024-08-17 19:30:00,872,La Liga,away,away,1,32,32,1,31,1.82,0.5,0.5496094879953717,True
2024-08-17 19:30:00,6966,Primeira Liga,home,home,49,27,49,27,22,1.31,0.5,0.7635381181722072,True
2024-08-18 10:15:00,5010,Eredivisie,away,away,8,84,84,8,76,1.2,0.5230095872975623,0.8314855875831485,True
2024-08-18 11:30:00,6276,Jupiler Pro League,away,home,33,89,89,33,56,4.82,0.5665652724602184,0.20758204695810092,False
2024-08-18 12:30:00,5016,Eredivisie,away,away,14,62,62,14,48,1.33,0.5230095872975623,0.7524064822712319,True
2024-08-18 12:30:00,5021,Eredivisie,away,home,18,28,28,18,10,2.74,0.4769904127024377,0.36483586360384707,False
2024-08-18 13:00:00,477,Premier League,away,home,1,3,3,1,2,2.73,0.5,0.3658536585365853,False
2024-08-18 13:00:00,1999,Ligue 1,home,home,3,1,3,1,2,3.04,0.5,0.32914725541827017,True
2024-08-18 14:30:00,6967,Primeira Liga,home,home,38,6,38,6,32,2.24,0.5459219227804837,0.44651162790697674,True
2024-08-18 14:45:00,5027,Eredivisie,away,home,6,94,94,6,88,1.5,0.5459219227804837,0.6645906121828954,False
2024-08-18 15:00:00,2002,Ligue 1,away,away,2,31,31,2,29,1.64,0.5,0.6112852664576802,True
2024-08-18 15:30:00,479,Premier League,away,away,1,17,17,1,16,2.01,0.5,0.49851447522973813,True
2024-08-18 16:30:00,6278,Jupiler Pro League,away,home,4,47,47,4,43,3.19,0.542772200452955,0.3138041733547351,False
2024-08-18 16:30:00,1619,Serie A,away,home,1,32,32,1,31,1.83,0.5,0.5474785570898474,False
2024-08-18 17:00:00,873,La Liga,home,away,12,2,12,2,10,1.74,0.5,0.5762265393480409,False
2024-08-18 17:00:00,6968,Primeira Liga,home,home,67,3,67,3,64,1.68,0.5459219227804837,0.5959637003927942,True
2024-08-18 17:15:00,6279,Jupiler Pro League,away,home,24,93,93,24,69,3.48,0.590050633720979,0.28733459357277885,False
2024-08-18 18:30:00,6571,Serie B,away,home,1,17,17,1,16,2.04,0.5,0.4903728275762602,False
2024-08-18 18:30:00,6570,Serie B,home,home,12,1,12,1,11,1.78,0.5,0.5615519253208868,True
2024-08-18 18:45:00,2003,Ligue 1,home,home,2,1,2,1,1,2.42,0.5,0.41257367387033406,True
2024-08-18 18:45:00,1622,Serie A,home,home,25,1,25,1,24,1.48,0.5,0.6761868406440866,True
2024-08-18 19:30:00,6969,Primeira Liga,away,away,22,53,53,22,31,1.6,0.4769904127024377,0.6263219741480611,True
2024-08-19 16:30:00,1623,Serie A,away,away,2,17,17,2,15,2.25,0.5,0.4436536180308422,True
2024-08-19 17:00:00,875,La Liga,away,home,1,2,2,1,1,3.67,0.5,0.2722117202268431,False
