date,league,home_team,away_team,bet,our_prob,odds,ev,stake,actual,won,profit,bankroll,clv
2026-02-27,Ligue 1,Strasbourg,Lens,home,0.48,2.45,0.175,55.11,draw,✗,-55.11,1771.79,
2026-02-28,Bundesliga,Werder Bremen,1. FC Heidenheim,away,0.233,5.03,0.174,19.14,home,✗,-19.14,1752.65,
2026-02-28,Premier League,Burnley,Brentford,away,0.645,1.85,0.195,70.11,away,✓,59.79,1812.44,
2026-03-01,Ligue 1,Paris FC,Nice,away,0.399,2.97,0.185,42.51,home,✗,-42.51,1769.93,
2026-03-01,Serie A,Torino,Lazio,home,0.437,2.9,0.266,61.89,home,✓,117.51,1887.44,
2026-03-01,Ligue 1,Marseille,Lyon,home,0.651,2.03,0.318,75.5,home,✓,77.43,1964.87,
2026-03-07,Bundesliga,VfL Wolfsburg,Hamburger SV,away,0.461,2.85,0.314,78.59,away,✓,145.63,2110.5,
2026-03-07,Bundesliga,1. FC Heidenheim,1899 Hoffenheim,away,0.744,1.61,0.194,84.42,away,✓,51.16,2161.66,
2026-03-07,La Liga,Levante,Girona,away,0.454,2.65,0.203,66.5,draw,✗,-66.5,2095.17,
2026-03-07,La Liga,Atletico Madrid,Real Sociedad,home,0.668,1.84,0.229,83.81,home,✓,70.37,2165.54,
2026-03-08,Ligue 1,Nice,Rennes,away,0.428,2.77,0.186,56.72,away,✓,100.43,2265.97,
2026-03-14,Premier League,Burnley,Bournemouth,away,0.669,1.85,0.239,90.64,draw,✗,-90.64,2175.33,
2026-03-14,La Liga,Atletico Madrid,Getafe,home,0.725,1.74,0.258,87.01,home,✓,63.99,2239.32,
2026-03-21,Bundesliga,1. FC Heidenheim,Bayer Leverkusen,away,0.727,1.66,0.208,89.57,draw,✗,-89.57,2149.75,
2026-03-21,Bundesliga,VfL Wolfsburg,Werder Bremen,away,0.428,2.9,0.241,68.08,away,✓,129.26,2279.01,
2026-03-21,Bundesliga,1. FC Köln,Borussia Mönchengladbach,away,0.372,3.26,0.212,53.33,draw,✗,-53.33,2225.68,
2026-03-22,Premier League,Aston Villa,West Ham,home,0.669,1.8,0.205,89.03,home,✓,71.47,2297.15,
2026-03-22,Ligue 1,Nantes,Strasbourg,away,0.603,2.1,0.269,91.89,away,✓,101.51,2398.66,
2026-04-04,Bundesliga,Werder Bremen,RB Leipzig,away,0.621,2.01,0.246,95.95,away,✓,96.72,2495.38,
2026-04-04,Bundesliga,1899 Hoffenheim,FSV Mainz 05,home,0.632,1.9,0.202,99.82,away,✗,-99.82,2395.57,
