ODDS_MIN,GAP_MIN,EV_MIN_%,N_all,WR_all_%,FlatROI_all_%,BK_all_$,N_F1,WR_F1_%,FlatROI_F1_%,KellyROI_F1_%,N_F2,WR_F2_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
2.1,110,5,76,56.6,27.5,2130.29,23,65.2,47.1,46.3,23,52.2,17.0,15.0,20.5,32.0
2.1,110,3,76,56.6,27.5,2130.29,23,65.2,47.1,46.3,23,52.2,17.0,15.0,20.5,32.0
2.1,110,20,76,56.6,27.5,2130.29,23,65.2,47.1,46.3,23,52.2,17.0,15.0,20.5,32.0
2.6,90,25,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,12,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,10,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,20,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,18,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,7,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,5,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,3,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.6,90,15,28,32.1,-10.3,857.78,4,50.0,44.5,42.7,14,42.9,19.3,16.0,15.1,31.9
2.2,120,3,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,5,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,12,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,20,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
