w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
10,0,3,8,2.6,90,21,3,11,33.3,92.7,2.0,-1.6,11.5,47.3
10,0,8,10,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,5,8,8,2.6,90,22,3,11,31.8,92.7,2.0,-1.6,11.5,47.3
10,3,3,8,2.6,90,21,3,11,33.3,92.7,2.0,-1.6,11.5,47.3
10,5,0,8,2.6,90,21,3,11,33.3,92.7,2.0,-1.6,11.5,47.3
10,5,3,12,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,5,0,10,2.6,90,22,3,11,31.8,92.7,2.0,-1.6,11.5,47.3
10,3,3,12,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,5,5,10,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,0,8,8,2.6,90,22,3,11,31.8,92.7,2.0,-1.6,11.5,47.3
10,3,8,10,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,5,0,12,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,3,3,10,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
5,0,8,15,2.1,110,59,18,16,57.6,38.8,54.7,52.9,11.2,46.7
7,7,8,15,2.2,110,39,13,11,66.7,44.8,48.2,44.5,11.5,46.5
5,7,8,15,2.2,110,39,13,11,66.7,44.8,48.2,44.5,11.5,46.5
0,7,8,15,2.2,110,34,11,10,64.7,51.2,41.0,37.9,11.5,46.1
3,7,8,8,2.2,110,30,9,10,66.7,52.6,39.5,36.6,11.5,46.0
3,7,5,8,2.2,110,30,9,10,66.7,52.6,39.5,36.6,11.5,46.0
3,0,8,15,2.1,110,55,16,15,58.2,42.4,49.7,47.0,11.2,46.0
3,7,3,8,2.2,110,30,9,10,66.7,52.6,39.5,36.6,11.5,46.0
