config,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
flat_70_2.0-2.5,0.0,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
flat_70_2.0-2.5,0.05,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
flat_70_2.0-2.5,0.08,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
flat_70_2.0-2.5,0.03,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
flat_80_1.9-2.8,0.05,112,0.5267857142857143,15.562500000000004,161,0.484472049689441,4.1552795031055885,9.858889751552796
flat_80_1.9-2.8,0.08,112,0.5267857142857143,15.562500000000004,160,0.48125,3.618749999999997,9.590625
flat_80_1.9-2.8,0.0,112,0.5267857142857143,15.562500000000004,162,0.48148148148148145,3.512345679012343,9.537422839506174
flat_80_1.9-2.8,0.03,112,0.5267857142857143,15.562500000000004,162,0.48148148148148145,3.512345679012343,9.537422839506174
tiered_B,0.03,145,0.5517241379310345,17.117241379310347,222,0.47297297297297297,-0.7297297297297292,8.193755824790308
tiered_B,0.05,145,0.5517241379310345,17.117241379310347,221,0.47058823529411764,-1.0950226244343875,8.011109377437979
tiered_B,0.0,147,0.5510204081632653,16.71428571428572,222,0.47297297297297297,-0.7297297297297292,7.9922779922779945
tiered_B,0.08,144,0.5486111111111112,16.645833333333336,218,0.463302752293578,-2.23394495412844,7.205944189602448
tiered_A,0.05,202,0.5445544554455446,14.504950495049501,354,0.4604519774011299,-3.887005649717512,5.3089724226659945
tiered_C,0.05,193,0.5544041450777202,15.01554404145077,310,0.4645161290322581,-4.577419354838712,5.219062343306029
tiered_C,0.03,195,0.5538461538461539,14.707692307692302,313,0.46645367412140576,-4.332268370607028,5.1877119685426365
tiered_C,0.0,197,0.5532994923857868,14.431472081218269,314,0.4681528662420382,-4.105095541401278,5.163188269908495
tiered_A,0.03,204,0.5441176470588235,14.215686274509798,355,0.4591549295774648,-4.157746478873235,5.028969897818282
tiered_A,0.0,206,0.5436893203883495,13.956310679611644,356,0.4606741573033708,-3.957865168539322,4.999222755536161
tiered_C,0.08,192,0.5520833333333334,14.651041666666659,305,0.46229508196721314,-4.799999999999996,4.925520833333332
tiered_A,0.08,201,0.5422885572139303,14.15422885572139,350,0.45714285714285713,-4.345714285714281,4.904257285003554
tiered_D,0.05,194,0.520618556701031,11.47938144329897,326,0.4539877300613497,-3.4110429447852737,4.0341692492568475
tiered_D,0.03,196,0.5204081632653061,11.209183673469385,328,0.45426829268292684,-3.4512195121951224,3.8789820806371313
tiered_D,0.0,198,0.5202020202020202,10.96969696969697,328,0.45426829268292684,-3.4512195121951224,3.7592387287509244
tiered_D,0.08,193,0.5181347150259067,11.09844559585492,323,0.44891640866873067,-4.201238390092876,3.4486036028810223
wide_70_1.75-3.0,0.0,183,0.5245901639344263,11.912568306010932,292,0.4486301369863014,-5.684931506849317,3.1138183995808077
wide_70_1.75-3.0,0.03,181,0.5248618784530387,12.182320441988955,291,0.44673539518900346,-5.962199312714776,3.1100605646370894
wide_70_1.75-3.0,0.05,181,0.5248618784530387,12.182320441988955,286,0.44405594405594406,-6.199300699300702,2.9915098713441264
wide_70_1.75-3.0,0.08,176,0.5227272727272727,12.215909090909092,281,0.4412811387900356,-6.469750889679717,2.8730791006146874
wide_60_1.65-3.5,0.08,261,0.5019157088122606,7.551724137931036,440,0.42272727272727273,-10.984090909090916,-1.7161833855799404
wide_60_1.65-3.5,0.03,276,0.5072463768115942,7.405797101449278,458,0.425764192139738,-11.008733624454157,-1.8014682615024395
wide_60_1.65-3.5,0.05,271,0.5018450184501845,6.867158671586719,449,0.42316258351893093,-11.175946547884193,-2.1543939381487367
wide_60_1.65-3.5,0.0,283,0.5017667844522968,5.985865724381627,466,0.4270386266094421,-11.085836909871254,-2.5499855927448136
