N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
177,2025-01-04,Primeira Liga,Arouca,Boavista,2.1,90,0.573,AWAY,WIN,501.77,20.07,22.08,523.85,4.4,-47.6
178,2025-01-05,Ligue 1,Stade Brestois 29,Angers,2.15,85,0.599,HOME,LOSS,523.85,20.95,-20.95,502.9,-4.0,-49.7
179,2025-01-10,Bundesliga,Bayer Leverkusen,Borussia Dortmund,2.25,115,0.7,AWAY,WIN,502.9,20.12,25.15,528.05,5.0,-47.2
180,2025-01-11,La Liga,Girona,Alaves,2.35,103,0.651,AWAY,WIN,528.05,21.12,28.51,556.56,5.4,-44.3
181,2025-01-11,Bundesliga,Union Berlin,1. FC Heidenheim,2.55,83,0.55,HOME,LOSS,556.56,22.26,-22.26,534.3,-4.0,-46.6
182,2025-01-11,Bundesliga,Eintracht Frankfurt,FC St. Pauli,2.15,115,0.633,AWAY,WIN,534.3,21.37,24.58,558.88,4.6,-44.1
183,2025-01-11,Ligue 1,Lyon,Stade Brestois 29,2.15,112,0.649,HOME,LOSS,558.88,22.36,-22.36,536.52,-4.0,-46.3
184,2025-01-11,Ligue 1,Nice,Reims,2.55,84,0.633,AWAY,WIN,536.52,21.46,33.26,569.78,6.2,-43.0
185,2025-01-11,Ligue 1,Marseille,Rennes,2.3,101,0.697,AWAY,WIN,569.78,22.79,29.63,599.41,5.2,-40.1
186,2025-01-12,Serie B,Cremonese,Frosinone,2.35,96,0.612,AWAY,WIN,599.41,23.98,32.37,631.78,5.4,-36.8
187,2025-01-18,Jupiler Pro League,Genk,KV Mechelen,2.2,103,0.68,AWAY,WIN,631.78,25.27,30.32,662.1,4.8,-33.8
188,2025-01-19,La Liga,Athletic Club,Celta Vigo,2.6,86,0.711,AWAY,WIN,662.1,26.48,42.37,704.47,6.4,-29.6
189,2025-01-19,Serie B,Pisa,Catanzaro,2.2,85,0.642,DRAW,LOSS,704.47,28.18,-28.18,676.29,-4.0,-32.4
190,2025-01-19,La Liga,Real Sociedad,Valencia,2.5,102,0.705,HOME,LOSS,676.29,27.05,-27.05,649.24,-4.0,-35.1
