N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
286,2025-08-17,Ligue 1,Strasbourg,Metz,2.1,88,0.747,AWAY,WIN,878.74,35.15,38.66,917.4,4.4,-8.3
287,2025-08-23,La Liga,Celta Vigo,Mallorca,2.45,111,0.592,DRAW,LOSS,917.4,36.7,-36.7,880.7,-4.0,-11.9
288,2025-08-30,Bundesliga,Eintracht Frankfurt,1899 Hoffenheim,2.45,103,0.688,AWAY,WIN,880.7,35.23,51.08,931.78,5.8,-6.8
289,2025-08-30,Premier League,Everton,Wolves,2.3,87,0.63,AWAY,WIN,931.78,37.27,48.45,980.23,5.2,-2.0
290,2025-08-30,Ligue 1,Lille,Lorient,2.2,99,0.775,AWAY,WIN,980.23,39.21,47.05,1027.28,4.8,2.7
291,2025-08-31,Eredivisie,NEC Nijmegen,Fortuna Sittard,2.15,92,0.629,HOME,LOSS,1027.28,41.09,-41.09,986.19,-4.0,-1.4
292,2025-08-31,La Liga,Villarreal,Celta Vigo,2.45,105,0.7,DRAW,LOSS,986.19,39.45,-39.45,946.74,-4.0,-5.3
293,2025-08-31,Ligue 1,Nice,Le Havre,2.15,85,0.731,HOME,LOSS,946.74,37.87,-37.87,908.87,-4.0,-9.1
294,2025-08-31,Serie A,Fiorentina,Torino,2.3,102,0.656,DRAW,LOSS,908.87,36.35,-36.35,872.52,-4.0,-12.7
295,2025-09-13,Bundesliga,VfB Stuttgart,SC Freiburg,2.55,95,0.553,HOME,LOSS,872.52,34.9,-34.9,837.62,-4.0,-16.2
296,2025-09-14,Primeira Liga,Guimaraes,Estrela,2.45,83,0.722,AWAY,WIN,837.62,33.5,48.58,886.2,5.8,-11.4
297,2025-09-20,Primeira Liga,SC Braga,Guimaraes,2.12,98,0.585,DRAW,LOSS,886.2,35.45,-35.45,850.75,-4.0,-14.9
298,2025-09-21,Jupiler Pro League,Union St. Gilloise,Genk,2.2,93,0.704,AWAY,WIN,850.75,34.03,40.84,891.59,4.8,-10.8
299,2025-09-21,Primeira Liga,Famalicao,Casa Pia,2.17,82,0.596,DRAW,LOSS,891.59,35.66,-35.66,855.93,-4.0,-14.4
300,2025-09-23,La Liga,Villarreal,Sevilla,2.3,97,0.757,AWAY,WIN,855.93,34.24,44.51,900.44,5.2,-10.0
301,2025-09-27,Bundesliga,FC Augsburg,1. FC Heidenheim,2.45,93,0.59,HOME,LOSS,900.44,36.02,-36.02,864.42,-4.0,-13.6
302,2025-09-27,Bundesliga,Eintracht Frankfurt,Borussia Mönchengladbach,2.2,119,0.683,AWAY,WIN,864.42,34.58,41.5,905.92,4.8,-9.4
303,2025-09-27,Eredivisie,Sparta Rotterdam,Heracles,2.55,105,0.654,HOME,LOSS,905.92,36.24,-36.24,869.68,-4.0,-13.0
304,2025-10-01,Serie B,Modena,Carrarese,2.3,93,0.572,DRAW,LOSS,869.68,34.79,-34.79,834.89,-4.0,-16.5
305,2025-10-04,Primeira Liga,Alverca,AVS,2.5,97,0.677,AWAY,WIN,834.89,33.4,50.1,884.99,6.0,-11.5
306,2025-10-05,Premier League,Brighton,Wolves,2.1,102,0.707,DRAW,LOSS,884.99,35.4,-35.4,849.59,-4.0,-15.0
307,2025-10-05,Serie A,AS Roma,Fiorentina,2.45,119,0.689,AWAY,WIN,849.59,33.98,49.27,898.86,5.8,-10.1
308,2025-10-18,Premier League,Chelsea,Nottingham Forest,2.1,114,0.67,AWAY,WIN,898.86,35.95,39.55,938.41,4.4,-6.2
309,2025-10-18,Bundesliga,VfB Stuttgart,VfL Wolfsburg,2.35,124,0.67,AWAY,WIN,938.41,37.54,50.68,989.09,5.4,-1.1
310,2025-10-18,Bundesliga,Bayer Leverkusen,FSV Mainz 05,2.6,104,0.752,AWAY,WIN,989.09,39.56,63.3,1052.39,6.4,5.2
311,2025-10-18,Premier League,Leeds,Burnley,2.2,86,0.697,HOME,LOSS,1052.39,42.1,-42.1,1010.29,-4.0,1.0
312,2025-10-19,Serie A,Juventus,Como,2.38,91,0.651,HOME,LOSS,1010.29,40.41,-40.41,969.88,-4.0,-3.0
313,2025-10-19,Jupiler Pro League,Genk,Cercle Brugge,2.1,91,0.679,DRAW,LOSS,969.88,38.8,-38.8,931.08,-4.0,-6.9
314,2025-10-19,Jupiler Pro League,KV Mechelen,Dender,2.6,98,0.687,AWAY,WIN,931.08,37.24,59.58,990.66,6.4,-0.9
315,2025-10-25,Serie B,Palermo,Catanzaro,2.35,121,0.612,HOME,LOSS,990.66,39.63,-39.63,951.03,-4.0,-4.9
316,2025-10-26,Serie A,Juventus,Lazio,2.25,110,0.607,HOME,LOSS,951.03,38.04,-38.04,912.99,-4.0,-8.7
317,2025-10-29,Ligue 1,Lyon,Paris FC,2.55,84,0.68,DRAW,LOSS,912.99,36.52,-36.52,876.47,-4.0,-12.4
318,2025-11-01,Primeira Liga,Famalicao,Nacional,2.2,90,0.632,AWAY,WIN,876.47,35.06,42.07,918.54,4.8,-8.1
319,2025-11-02,Serie B,Cesena,Bari,2.45,81,0.637,HOME,LOSS,918.54,36.74,-36.74,881.8,-4.0,-11.8
320,2025-11-02,Primeira Liga,Tondela,AVS,2.4,82,0.655,DRAW,LOSS,881.8,35.27,-35.27,846.53,-4.0,-15.3
321,2025-11-02,Ligue 1,Lyon,Stade Brestois 29,2.15,118,0.647,DRAW,LOSS,846.53,33.86,-33.86,812.67,-4.0,-18.7
322,2025-11-08,Eredivisie,Sparta Rotterdam,PEC Zwolle,2.5,87,0.586,HOME,LOSS,812.67,32.51,-32.51,780.16,-4.0,-22.0
323,2025-11-09,Ligue 1,Toulouse,Lorient,2.4,105,0.653,DRAW,LOSS,780.16,31.21,-31.21,748.95,-4.0,-25.1
324,2025-11-09,Ligue 1,Nice,Metz,2.25,105,0.764,HOME,LOSS,748.95,29.96,-29.96,718.99,-4.0,-28.1
325,2025-11-09,La Liga,Real Betis,Valencia,2.15,100,0.673,DRAW,LOSS,718.99,28.76,-28.76,690.23,-4.0,-31.0
326,2025-11-22,Serie A,Bologna,Udinese,2.25,94,0.685,AWAY,WIN,690.23,27.61,34.51,724.74,5.0,-27.5
327,2025-11-22,Bundesliga,Borussia Mönchengladbach,1. FC Heidenheim,2.1,94,0.577,AWAY,WIN,724.74,28.99,31.89,756.63,4.4,-24.3
328,2025-11-23,Eredivisie,AZ Alkmaar,Heerenveen,2.25,104,0.705,HOME,LOSS,756.63,30.27,-30.27,726.36,-4.0,-27.4
329,2025-11-23,La Liga,Rayo Vallecano,Oviedo,2.2,103,0.625,DRAW,LOSS,726.36,29.05,-29.05,697.31,-4.0,-30.3
330,2025-11-23,Eredivisie,Utrecht,Telstar,2.2,102,0.65,DRAW,LOSS,697.31,27.89,-27.89,669.42,-4.0,-33.1
331,2025-11-23,Premier League,Aston Villa,Leeds,2.4,92,0.722,AWAY,WIN,669.42,26.78,37.49,706.91,5.6,-29.3
332,2025-11-23,Ligue 1,Lyon,Auxerre,2.1,99,0.728,DRAW,LOSS,706.91,28.28,-28.28,678.63,-4.0,-32.1
333,2025-11-24,Serie A,Como,Torino,2.25,91,0.578,AWAY,WIN,678.63,27.15,33.94,712.57,5.0,-28.7
334,2025-11-28,Bundesliga,RB Leipzig,Borussia Mönchengladbach,2.25,92,0.703,DRAW,LOSS,712.57,28.5,-28.5,684.07,-4.0,-31.6
335,2025-11-29,Serie B,Frosinone,Reggiana,2.25,83,0.588,AWAY,WIN,684.07,27.36,34.2,718.27,5.0,-28.2
336,2025-11-29,Jupiler Pro League,KVC Westerlo,Dender,2.3,96,0.6,DRAW,LOSS,718.27,28.73,-28.73,689.54,-4.0,-31.0
337,2025-11-29,Primeira Liga,Famalicao,Moreirense,2.25,80,0.569,DRAW,LOSS,689.54,27.58,-27.58,661.96,-4.0,-33.8
338,2025-11-29,La Liga,Athletic Club,Levante,2.1,96,0.671,AWAY,WIN,661.96,26.48,29.13,691.09,4.4,-30.9
339,2025-11-30,Premier League,Brighton,Nottingham Forest,2.6,93,0.615,AWAY,WIN,691.09,27.64,44.22,735.31,6.4,-26.5
340,2025-11-30,Bundesliga,VfB Stuttgart,Hamburger SV,2.15,116,0.689,HOME,LOSS,735.31,29.41,-29.41,705.9,-4.0,-29.4
341,2025-12-03,Premier League,Nottingham Forest,Wolves,2.35,111,0.683,AWAY,WIN,705.9,28.24,38.12,744.02,5.4,-25.6
342,2025-12-06,Primeira Liga,Rio Ave,AVS,2.4,113,0.685,AWAY,WIN,744.02,29.76,41.66,785.68,5.6,-21.4
343,2025-12-06,La Liga,Atletico Madrid,Athletic Club,2.55,122,0.664,HOME,LOSS,785.68,31.43,-31.43,754.25,-4.0,-24.6
344,2025-12-07,Jupiler Pro League,Anderlecht,KVC Westerlo,2.25,124,0.703,HOME,LOSS,754.25,30.17,-30.17,724.08,-4.0,-27.6
345,2025-12-08,Serie B,Cesena,Padova,2.38,86,0.588,DRAW,LOSS,724.08,28.96,-28.96,695.12,-4.0,-30.5
346,2025-12-12,Bundesliga,RB Leipzig,Union Berlin,2.38,140,0.714,HOME,LOSS,695.12,27.8,-27.8,667.32,-4.0,-33.3
347,2025-12-13,Eredivisie,NEC Nijmegen,Telstar,2.15,102,0.639,DRAW,LOSS,667.32,26.69,-26.69,640.63,-4.0,-35.9
348,2025-12-13,Primeira Liga,GIL Vicente,Casa Pia,2.1,115,0.626,DRAW,LOSS,640.63,25.63,-25.63,615.0,-4.0,-38.5
349,2025-12-14,Premier League,Aston Villa,West Ham,2.15,120,0.781,AWAY,WIN,615.0,24.6,28.29,643.29,4.6,-35.7
350,2025-12-14,Bundesliga,Borussia Dortmund,SC Freiburg,2.15,101,0.696,DRAW,LOSS,643.29,25.73,-25.73,617.56,-4.0,-38.2
351,2025-12-14,Primeira Liga,Alverca,Arouca,2.4,107,0.61,HOME,LOSS,617.56,24.7,-24.7,592.86,-4.0,-40.7
352,2025-12-15,La Liga,Real Betis,Rayo Vallecano,2.5,102,0.616,DRAW,LOSS,592.86,23.71,-23.71,569.15,-4.0,-43.1
353,2025-12-19,Jupiler Pro League,Genk,Charleroi,2.3,94,0.574,DRAW,LOSS,569.15,22.77,-22.77,546.38,-4.0,-45.4
354,2025-12-20,La Liga,Celta Vigo,Oviedo,2.15,109,0.696,DRAW,LOSS,546.38,21.86,-21.86,524.52,-4.0,-47.5
355,2025-12-20,Premier League,Brentford,Wolves,2.1,105,0.732,AWAY,WIN,524.52,20.98,23.08,547.6,4.4,-45.2
356,2025-12-20,La Liga,Real Sociedad,Levante,2.45,93,0.556,DRAW,LOSS,547.6,21.9,-21.9,525.7,-4.0,-47.4
357,2025-12-21,Primeira Liga,Nacional,AVS,2.6,92,0.657,DRAW,LOSS,525.7,21.03,-21.03,504.67,-4.0,-49.5
358,2025-12-21,Jupiler Pro League,Anderlecht,Antwerp,2.3,84,0.632,DRAW,LOSS,504.67,20.19,-20.19,484.48,-4.0,-51.6
359,2025-12-26,Jupiler Pro League,Club Brugge KV,Genk,2.15,97,0.64,AWAY,WIN,484.48,19.38,22.29,506.77,4.6,-49.3
360,2025-12-27,Premier League,Everton,Burnley,2.2,98,0.771,DRAW,LOSS,506.77,20.27,-20.27,486.5,-4.0,-51.3
361,2025-12-27,Premier League,Fulham,West Ham,2.6,87,0.621,AWAY,WIN,486.5,19.46,31.14,517.64,6.4,-48.2
362,2026-01-03,La Liga,Villarreal,Elche,2.1,85,0.741,AWAY,WIN,517.64,20.71,22.78,540.42,4.4,-46.0
363,2026-01-03,Primeira Liga,Moreirense,AVS,2.1,112,0.722,AWAY,WIN,540.42,21.62,23.78,564.2,4.4,-43.6
364,2026-01-04,Serie A,Napoli,Lazio,2.2,102,0.655,AWAY,WIN,564.2,22.57,27.08,591.28,4.8,-40.9
365,2026-01-07,Premier League,Aston Villa,Crystal Palace,2.25,123,0.712,DRAW,LOSS,591.28,23.65,-23.65,567.63,-4.0,-43.2
366,2026-01-10,Serie B,Monza,Virtus Entella,2.1,113,0.604,HOME,LOSS,567.63,22.71,-22.71,544.92,-4.0,-45.5
367,2026-01-11,Serie A,AC Milan,Fiorentina,2.15,112,0.766,DRAW,LOSS,544.92,21.8,-21.8,523.12,-4.0,-47.7
368,2026-01-11,La Liga,Espanyol,Levante,2.3,105,0.691,DRAW,LOSS,523.12,20.92,-20.92,502.2,-4.0,-49.8
369,2026-01-11,Serie A,Lazio,Hellas Verona,2.38,92,0.697,AWAY,WIN,502.2,20.09,27.72,529.92,5.5,-47.0
370,2026-01-15,Serie A,Bologna,Hellas Verona,2.15,100,0.708,AWAY,WIN,529.92,21.2,24.38,554.3,4.6,-44.6
371,2026-01-16,Bundesliga,Eintracht Frankfurt,Werder Bremen,2.45,82,0.611,DRAW,LOSS,554.3,22.17,-22.17,532.13,-4.0,-46.8
372,2026-01-17,Premier League,Manchester City,Manchester United,2.15,105,0.73,HOME,LOSS,532.13,21.29,-21.29,510.84,-4.0,-48.9
373,2026-01-17,Serie B,Cesena,Reggiana,2.1,89,0.634,AWAY,WIN,510.84,20.43,22.47,533.31,4.4,-46.7
374,2026-01-17,Serie B,Juve Stabia,Bari,2.45,87,0.645,AWAY,WIN,533.31,21.33,30.93,564.24,5.8,-43.6
375,2026-01-17,La Liga,Villarreal,Real Betis,2.5,95,0.675,HOME,LOSS,564.24,22.57,-22.57,541.67,-4.0,-45.8
376,2026-01-18,Jupiler Pro League,Anderlecht,Gent,2.4,99,0.637,HOME,LOSS,541.67,21.67,-21.67,520.0,-4.0,-48.0
377,2026-01-18,Jupiler Pro League,Antwerp,Dender,2.3,114,0.674,HOME,LOSS,520.0,20.8,-20.8,499.2,-4.0,-50.1
378,2026-01-24,Premier League,Tottenham,Burnley,2.15,118,0.634,DRAW,LOSS,499.2,19.97,-19.97,479.23,-4.0,-52.1
379,2026-01-24,Jupiler Pro League,St. Truiden,RAAL La Louvière,2.45,104,0.661,AWAY,WIN,479.23,19.17,27.8,507.03,5.8,-49.3
380,2026-01-24,Bundesliga,Borussia Dortmund,Union Berlin,2.3,125,0.735,AWAY,WIN,507.03,20.28,26.36,533.39,5.2,-46.7
381,2026-01-25,Premier League,Chelsea,Crystal Palace,2.2,99,0.606,AWAY,WIN,533.39,21.34,25.61,559.0,4.8,-44.1
382,2026-01-25,Bundesliga,VfB Stuttgart,Borussia Mönchengladbach,2.15,95,0.687,AWAY,WIN,559.0,22.36,25.71,584.71,4.6,-41.5
383,2026-01-30,Eredivisie,Twente,NAC Breda,2.15,137,0.723,DRAW,LOSS,584.71,23.39,-23.39,561.32,-4.0,-43.9
384,2026-01-31,Serie A,Sassuolo,Pisa,2.5,80,0.582,AWAY,WIN,561.32,22.45,33.67,594.99,6.0,-40.5
385,2026-01-31,Serie B,Modena,Empoli,2.25,81,0.574,DRAW,LOSS,594.99,23.8,-23.8,571.19,-4.0,-42.9
386,2026-01-31,Serie B,Frosinone,Virtus Entella,2.55,92,0.721,DRAW,LOSS,571.19,22.85,-22.85,548.34,-4.0,-45.2
387,2026-01-31,Premier League,Bournemouth,Wolves,2.35,99,0.726,AWAY,WIN,548.34,21.93,29.61,577.95,5.4,-42.2
388,2026-02-01,Jupiler Pro League,Anderlecht,Standard Liege,2.15,104,0.648,HOME,LOSS,577.95,23.12,-23.12,554.83,-4.0,-44.5
389,2026-02-01,Serie B,Juve Stabia,Reggiana,2.3,123,0.703,DRAW,LOSS,554.83,22.19,-22.19,532.64,-4.0,-46.7
390,2026-02-03,Serie A,AC Milan,Bologna,2.5,107,0.714,AWAY,WIN,532.64,21.31,31.96,564.6,6.0,-43.5
391,2026-02-07,Bundesliga,Hamburger SV,1. FC Heidenheim,2.4,97,0.626,AWAY,WIN,564.6,22.58,31.61,596.21,5.6,-40.4
392,2026-02-07,Premier League,West Ham,Burnley,2.2,88,0.612,AWAY,WIN,596.21,23.85,28.62,624.83,4.8,-37.5
393,2026-02-07,Premier League,Aston Villa,Bournemouth,2.35,81,0.646,DRAW,LOSS,624.83,24.99,-24.99,599.84,-4.0,-40.0
394,2026-02-07,Eredivisie,Sparta Rotterdam,Fortuna Sittard,2.4,89,0.622,DRAW,LOSS,599.84,23.99,-23.99,575.85,-4.0,-42.4
395,2026-02-10,Serie B,Palermo,Sampdoria,2.25,86,0.656,DRAW,LOSS,575.85,23.03,-23.03,552.82,-4.0,-44.7
396,2026-02-10,Serie B,Catanzaro,Pescara,2.55,91,0.689,AWAY,WIN,552.82,22.11,34.27,587.09,6.2,-41.3
397,2026-02-11,Serie B,Frosinone,Avellino,2.25,96,0.661,AWAY,WIN,587.09,23.48,29.35,616.44,5.0,-38.4
398,2026-02-14,La Liga,Villarreal,Getafe,2.25,109,0.785,HOME,LOSS,616.44,24.66,-24.66,591.78,-4.0,-40.8
399,2026-02-14,Serie A,Atalanta,Lazio,2.15,114,0.591,AWAY,WIN,591.78,23.67,27.22,619.0,4.6,-38.1
400,2026-02-14,Serie B,Venezia,Cesena,2.1,92,0.657,AWAY,WIN,619.0,24.76,27.24,646.24,4.4,-35.4
401,2026-02-15,La Liga,Athletic Club,Oviedo,2.25,83,0.618,AWAY,WIN,646.24,25.85,32.31,678.55,5.0,-32.1
402,2026-02-15,Serie B,Sudtirol,Bari,2.4,112,0.64,AWAY,WIN,678.55,27.14,38.0,716.55,5.6,-28.3
403,2026-02-15,La Liga,Real Betis,Mallorca,2.4,87,0.696,AWAY,WIN,716.55,28.66,40.12,756.67,5.6,-24.3
404,2026-02-16,Primeira Liga,Moreirense,Rio Ave,2.25,104,0.572,AWAY,WIN,756.67,30.27,37.84,794.51,5.0,-20.5
405,2026-02-21,Serie B,Sampdoria,Mantova,2.6,97,0.614,HOME,LOSS,794.51,31.78,-31.78,762.73,-4.0,-23.7
406,2026-02-21,Bundesliga,Bayer Leverkusen,Union Berlin,2.38,118,0.744,HOME,LOSS,762.73,30.51,-30.51,732.22,-4.0,-26.8
407,2026-02-21,Bundesliga,1899 Hoffenheim,1. FC Köln,2.1,98,0.753,DRAW,LOSS,732.22,29.29,-29.29,702.93,-4.0,-29.7
408,2026-02-22,Ligue 1,Rennes,Auxerre,2.4,100,0.662,AWAY,WIN,702.93,28.12,39.37,742.3,5.6,-25.8
409,2026-02-28,La Liga,Real Sociedad,Mallorca,2.3,89,0.613,AWAY,WIN,742.3,29.69,38.6,780.9,5.2,-21.9
410,2026-03-01,Ligue 1,Stade Brestois 29,Metz,2.1,127,0.758,AWAY,WIN,780.9,31.24,34.36,815.26,4.4,-18.5
411,2026-03-03,Serie B,Monza,Cesena,2.45,112,0.663,AWAY,WIN,815.26,32.61,47.28,862.54,5.8,-13.7
412,2026-03-03,Serie B,Modena,Virtus Entella,2.3,122,0.61,HOME,LOSS,862.54,34.5,-34.5,828.04,-4.0,-17.2
413,2026-03-04,Premier League,Manchester United,Newcastle,2.55,90,0.635,HOME,LOSS,828.04,33.12,-33.12,794.92,-4.0,-20.5
414,2026-03-06,Eredivisie,Utrecht,Heracles,2.15,121,0.732,DRAW,LOSS,794.92,31.8,-31.8,763.12,-4.0,-23.7
415,2026-03-06,La Liga,Real Madrid,Celta Vigo,2.25,84,0.715,AWAY,WIN,763.12,30.52,38.15,801.27,5.0,-19.9
416,2026-03-07,Bundesliga,Bayer Leverkusen,SC Freiburg,2.38,86,0.646,DRAW,LOSS,801.27,32.05,-32.05,769.22,-4.0,-23.1
417,2026-03-07,Eredivisie,Ajax,Groningen,2.25,116,0.752,HOME,LOSS,769.22,30.77,-30.77,738.45,-4.0,-26.2
418,2026-03-07,Eredivisie,Heerenveen,Excelsior,2.35,103,0.6,AWAY,WIN,738.45,29.54,39.88,778.33,5.4,-22.2
419,2026-03-07,Ligue 1,Marseille,Toulouse,2.1,84,0.675,AWAY,WIN,778.33,31.13,34.24,812.57,4.4,-18.7
420,2026-03-08,Serie B,Palermo,Carrarese,2.15,105,0.688,AWAY,WIN,812.57,32.5,37.38,849.95,4.6,-15.0
421,2026-03-13,La Liga,Villarreal,Alaves,2.2,95,0.787,DRAW,LOSS,849.95,34.0,-34.0,815.95,-4.0,-18.4
422,2026-03-14,Serie B,Catanzaro,Padova,2.1,95,0.655,AWAY,WIN,815.95,32.64,35.9,851.85,4.4,-14.8
423,2026-03-14,Serie B,Frosinone,Cesena,2.45,109,0.704,DRAW,LOSS,851.85,34.07,-34.07,817.78,-4.0,-18.2
424,2026-03-15,Serie A,Genoa,Hellas Verona,2.4,134,0.673,AWAY,WIN,817.78,32.71,45.79,863.57,5.6,-13.6
425,2026-03-15,Ligue 1,Lyon,Le Havre,2.15,104,0.695,DRAW,LOSS,863.57,34.54,-34.54,829.03,-4.0,-17.1
426,2026-03-21,Premier League,Chelsea,Everton,2.25,82,0.567,HOME,LOSS,829.03,33.16,-33.16,795.87,-4.0,-20.4
427,2026-03-22,Serie B,Frosinone,Sudtirol,2.3,111,0.657,AWAY,WIN,795.87,31.83,41.38,837.25,5.2,-16.3
428,2026-03-22,Eredivisie,AZ Alkmaar,Groningen,2.3,110,0.63,HOME,LOSS,837.25,33.49,-33.49,803.76,-4.0,-19.6
429,2026-03-22,Jupiler Pro League,Gent,Dender,2.15,111,0.67,AWAY,WIN,803.76,32.15,36.97,840.73,4.6,-15.9
430,2026-03-22,Jupiler Pro League,Genk,RAAL La Louvière,2.1,102,0.632,DRAW,LOSS,840.73,33.63,-33.63,807.1,-4.0,-19.3
431,2026-04-03,Jupiler Pro League,Genk,Antwerp,2.2,95,0.625,AWAY,WIN,807.1,32.28,38.74,845.84,4.8,-15.4
432,2026-04-04,Serie A,Fiorentina,Hellas Verona,2.1,124,0.709,AWAY,WIN,845.84,33.83,37.21,883.05,4.4,-11.7
433,2026-04-05,Serie A,Bologna,Cremonese,2.25,130,0.617,AWAY,WIN,883.05,35.32,44.15,927.2,5.0,-7.3
434,2026-04-05,Serie A,Torino,Pisa,2.4,83,0.559,AWAY,WIN,927.2,37.09,51.93,979.13,5.6,-2.1
