N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
110,2024-10-20,Serie A,Fiorentina,Lecce,2.25,111,0.689,AWAY,WIN,1041.54,41.66,52.07,1093.61,5.0,9.4
111,2024-10-20,Ligue 1,Reims,Auxerre,2.2,90,0.633,HOME,LOSS,1093.61,43.74,-43.74,1049.87,-4.0,5.0
112,2024-10-26,La Liga,Girona,Las Palmas,2.55,88,0.741,HOME,LOSS,1049.87,41.99,-41.99,1007.88,-4.0,0.8
113,2024-10-27,La Liga,Atletico Madrid,Real Betis,2.25,85,0.653,HOME,LOSS,1007.88,40.32,-40.32,967.56,-4.0,-3.2
114,2024-11-03,Ligue 1,Marseille,Nantes,2.1,107,0.679,AWAY,WIN,967.56,38.7,42.57,1010.13,4.4,1.0
115,2024-11-10,La Liga,Atletico Madrid,Mallorca,2.3,90,0.686,AWAY,WIN,1010.13,40.41,52.53,1062.66,5.2,6.3
116,2024-11-10,Ligue 1,Stade Brestois 29,Montpellier,2.5,126,0.689,HOME,LOSS,1062.66,42.51,-42.51,1020.15,-4.0,2.0
117,2024-11-10,Ligue 1,Reims,Le Havre,2.25,119,0.645,AWAY,WIN,1020.15,40.81,51.01,1071.16,5.0,7.1
118,2024-11-23,Bundesliga,RB Leipzig,1899 Hoffenheim,2.15,130,0.721,HOME,LOSS,1071.16,42.85,-42.85,1028.31,-4.0,2.8
119,2024-11-23,Ligue 1,Lyon,Reims,2.25,98,0.62,DRAW,LOSS,1028.31,41.13,-41.13,987.18,-4.0,-1.3
120,2024-11-24,Bundesliga,FSV Mainz 05,Holstein Kiel,2.3,121,0.604,AWAY,WIN,987.18,39.49,51.34,1038.52,5.2,3.9
121,2024-12-01,La Liga,Athletic Club,Rayo Vallecano,2.45,115,0.698,AWAY,WIN,1038.52,41.54,60.23,1098.75,5.8,9.9
122,2024-12-02,Serie A,Atalanta,AS Roma,2.1,121,0.697,AWAY,WIN,1098.75,43.95,48.35,1147.1,4.4,14.7
123,2024-12-07,Bundesliga,Werder Bremen,VfL Bochum,2.25,118,0.726,AWAY,WIN,1147.1,45.88,57.35,1204.45,5.0,20.4
124,2024-12-08,Ligue 1,Rennes,Nantes,2.5,91,0.6,HOME,LOSS,1204.45,48.18,-48.18,1156.27,-4.0,15.6
125,2024-12-14,Bundesliga,Werder Bremen,FC St. Pauli,2.5,99,0.598,AWAY,WIN,1156.27,46.25,69.38,1225.65,6.0,22.6
126,2024-12-14,Ligue 1,Monaco,Reims,2.2,108,0.696,DRAW,LOSS,1225.65,49.03,-49.03,1176.62,-4.0,17.7
127,2024-12-15,Ligue 1,Nice,Montpellier,2.25,90,0.715,DRAW,LOSS,1176.62,47.06,-47.06,1129.56,-4.0,13.0
128,2024-12-15,La Liga,Athletic Club,Alaves,2.1,112,0.743,DRAW,LOSS,1129.56,45.18,-45.18,1084.38,-4.0,8.4
129,2024-12-21,Serie A,Bologna,Torino,2.4,96,0.652,AWAY,WIN,1084.38,43.38,60.73,1145.11,5.6,14.5
130,2024-12-21,Bundesliga,FC Augsburg,Holstein Kiel,2.15,108,0.607,HOME,LOSS,1145.11,45.8,-45.8,1099.31,-4.0,9.9
131,2025-01-04,Serie A,Udinese,Hellas Verona,2.4,91,0.576,DRAW,LOSS,1099.31,43.97,-43.97,1055.34,-4.0,5.5
132,2025-01-05,Ligue 1,Stade Brestois 29,Angers,2.15,85,0.599,HOME,LOSS,1055.34,42.21,-42.21,1013.13,-4.0,1.3
133,2025-01-10,Bundesliga,Bayer Leverkusen,Borussia Dortmund,2.25,115,0.7,AWAY,WIN,1013.13,40.53,50.66,1063.79,5.0,6.4
134,2025-01-11,La Liga,Girona,Alaves,2.35,103,0.651,AWAY,WIN,1063.79,42.55,57.44,1121.23,5.4,12.1
135,2025-01-11,Bundesliga,Union Berlin,1. FC Heidenheim,2.55,83,0.55,HOME,LOSS,1121.23,44.85,-44.85,1076.38,-4.0,7.6
136,2025-01-11,Bundesliga,Eintracht Frankfurt,FC St. Pauli,2.15,115,0.633,AWAY,WIN,1076.38,43.06,49.52,1125.9,4.6,12.6
137,2025-01-11,Ligue 1,Lyon,Stade Brestois 29,2.15,112,0.649,HOME,LOSS,1125.9,45.04,-45.04,1080.86,-4.0,8.1
138,2025-01-11,Ligue 1,Nice,Reims,2.55,84,0.633,AWAY,WIN,1080.86,43.23,67.01,1147.87,6.2,14.8
139,2025-01-11,Ligue 1,Marseille,Rennes,2.3,101,0.697,AWAY,WIN,1147.87,45.91,59.68,1207.55,5.2,20.8
140,2025-01-19,La Liga,Athletic Club,Celta Vigo,2.6,86,0.711,AWAY,WIN,1207.55,48.3,77.28,1284.83,6.4,28.5
141,2025-01-19,La Liga,Real Sociedad,Valencia,2.5,102,0.705,HOME,LOSS,1284.83,51.39,-51.39,1233.44,-4.0,23.3
142,2025-01-25,Ligue 1,Lille,Strasbourg,2.35,90,0.66,HOME,LOSS,1233.44,49.34,-49.34,1184.1,-4.0,18.4
143,2025-01-26,Serie A,AS Roma,Udinese,2.25,94,0.602,AWAY,WIN,1184.1,47.36,59.2,1243.3,5.0,24.3
144,2025-01-26,Ligue 1,Stade Brestois 29,Le Havre,2.25,107,0.742,AWAY,WIN,1243.3,49.73,62.16,1305.46,5.0,30.5
145,2025-01-26,Bundesliga,Eintracht Frankfurt,1899 Hoffenheim,2.15,138,0.694,DRAW,LOSS,1305.46,52.22,-52.22,1253.24,-4.0,25.3
146,2025-02-01,Bundesliga,RB Leipzig,Union Berlin,2.45,87,0.739,DRAW,LOSS,1253.24,50.13,-50.13,1203.11,-4.0,20.3
147,2025-02-02,Serie A,Napoli,AS Roma,2.45,90,0.67,DRAW,LOSS,1203.11,48.12,-48.12,1154.99,-4.0,15.5
148,2025-02-02,La Liga,Athletic Club,Real Betis,2.35,123,0.67,DRAW,LOSS,1154.99,46.2,-46.2,1108.79,-4.0,10.9
149,2025-02-16,Serie A,AS Roma,Parma,2.15,126,0.722,AWAY,WIN,1108.79,44.35,51.0,1159.79,4.6,16.0
150,2025-02-16,Bundesliga,FSV Mainz 05,1. FC Heidenheim,2.1,121,0.718,AWAY,WIN,1159.79,46.39,51.03,1210.82,4.4,21.1
151,2025-02-22,La Liga,Atletico Madrid,Valencia,2.15,98,0.767,AWAY,WIN,1210.82,48.43,55.69,1266.51,4.6,26.7
152,2025-02-23,Serie A,Napoli,Como,2.25,123,0.746,HOME,LOSS,1266.51,50.66,-50.66,1215.85,-4.0,21.6
153,2025-02-23,Ligue 1,Lens,Nantes,2.1,120,0.644,HOME,LOSS,1215.85,48.63,-48.63,1167.22,-4.0,16.7
154,2025-03-01,Bundesliga,Borussia Mönchengladbach,1. FC Heidenheim,2.35,132,0.686,AWAY,WIN,1167.22,46.69,63.03,1230.25,5.4,23.0
155,2025-03-07,Ligue 1,Monaco,Toulouse,2.2,95,0.607,DRAW,LOSS,1230.25,49.21,-49.21,1181.04,-4.0,18.1
156,2025-03-08,Serie A,Torino,Parma,2.4,89,0.669,DRAW,LOSS,1181.04,47.24,-47.24,1133.8,-4.0,13.4
157,2025-03-08,La Liga,Villarreal,Alaves,2.5,109,0.728,HOME,LOSS,1133.8,45.35,-45.35,1088.45,-4.0,8.8
158,2025-03-09,Ligue 1,Strasbourg,Nantes,2.5,87,0.652,AWAY,WIN,1088.45,43.54,65.31,1153.76,6.0,15.4
159,2025-03-15,Serie A,Parma,Monza,2.45,88,0.617,DRAW,LOSS,1153.76,46.15,-46.15,1107.61,-4.0,10.8
160,2025-03-16,La Liga,Athletic Club,Sevilla,2.35,114,0.654,AWAY,WIN,1107.61,44.3,59.8,1167.41,5.4,16.7
161,2025-03-16,Serie A,Juventus,Fiorentina,2.35,107,0.643,HOME,LOSS,1167.41,46.7,-46.7,1120.71,-4.0,12.1
162,2025-03-16,Bundesliga,Bayer Leverkusen,VfB Stuttgart,2.2,120,0.721,AWAY,WIN,1120.71,44.83,53.8,1174.51,4.8,17.5
163,2025-03-29,Bundesliga,Werder Bremen,Holstein Kiel,2.15,91,0.622,AWAY,WIN,1174.51,46.98,54.03,1228.54,4.6,22.9
164,2025-03-30,La Liga,Villarreal,Getafe,2.25,99,0.577,AWAY,WIN,1228.54,49.14,61.42,1289.96,5.0,29.0
165,2025-03-30,Serie A,Atalanta,Fiorentina,2.2,94,0.617,HOME,LOSS,1289.96,51.6,-51.6,1238.36,-4.0,23.8
166,2025-03-30,Ligue 1,Nantes,Le Havre,2.4,87,0.604,HOME,LOSS,1238.36,49.53,-49.53,1188.83,-4.0,18.9
167,2025-04-05,Bundesliga,VfB Stuttgart,VfL Bochum,2.45,98,0.701,AWAY,WIN,1188.83,47.55,68.95,1257.78,5.8,25.8
168,2025-04-06,La Liga,Real Sociedad,Las Palmas,2.35,99,0.626,AWAY,WIN,1257.78,50.31,67.92,1325.7,5.4,32.6
169,2025-04-06,La Liga,Atletico Madrid,Sevilla,2.3,88,0.71,AWAY,WIN,1325.7,53.03,68.94,1394.64,5.2,39.5
170,2025-04-06,Ligue 1,Strasbourg,Reims,2.1,121,0.722,AWAY,WIN,1394.64,55.79,61.37,1456.01,4.4,45.6
171,2025-04-11,Bundesliga,RB Leipzig,VfL Wolfsburg,2.3,107,0.623,AWAY,WIN,1456.01,58.24,75.71,1531.72,5.2,53.2
