N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
220,2025-11-09,La Liga,Real Betis,Valencia,2.15,100,0.673,DRAW,LOSS,2139.22,85.57,-85.57,2053.65,-4.0,105.4
221,2025-11-22,Serie A,Bologna,Udinese,2.25,94,0.685,AWAY,WIN,2053.65,82.15,102.69,2156.34,5.0,115.6
222,2025-11-22,Bundesliga,Borussia Mönchengladbach,1. FC Heidenheim,2.1,94,0.577,AWAY,WIN,2156.34,86.25,94.88,2251.22,4.4,125.1
223,2025-11-23,La Liga,Rayo Vallecano,Oviedo,2.2,103,0.625,DRAW,LOSS,2251.22,90.05,-90.05,2161.17,-4.0,116.1
224,2025-11-23,Premier League,Aston Villa,Leeds,2.4,92,0.722,AWAY,WIN,2161.17,86.45,121.03,2282.2,5.6,128.2
225,2025-11-23,Ligue 1,Lyon,Auxerre,2.1,99,0.728,DRAW,LOSS,2282.2,91.29,-91.29,2190.91,-4.0,119.1
226,2025-11-24,Serie A,Como,Torino,2.25,91,0.578,AWAY,WIN,2190.91,87.64,109.55,2300.46,5.0,130.0
227,2025-11-28,Bundesliga,RB Leipzig,Borussia Mönchengladbach,2.25,92,0.703,DRAW,LOSS,2300.46,92.02,-92.02,2208.44,-4.0,120.8
228,2025-11-29,La Liga,Athletic Club,Levante,2.1,96,0.671,AWAY,WIN,2208.44,88.34,97.17,2305.61,4.4,130.6
229,2025-11-30,Premier League,Brighton,Nottingham Forest,2.6,93,0.615,AWAY,WIN,2305.61,92.22,147.55,2453.16,6.4,145.3
230,2025-11-30,Bundesliga,VfB Stuttgart,Hamburger SV,2.15,116,0.689,HOME,LOSS,2453.16,98.13,-98.13,2355.03,-4.0,135.5
231,2025-12-03,Premier League,Nottingham Forest,Wolves,2.35,111,0.683,AWAY,WIN,2355.03,94.2,127.17,2482.2,5.4,148.2
232,2025-12-06,La Liga,Atletico Madrid,Athletic Club,2.55,122,0.664,HOME,LOSS,2482.2,99.29,-99.29,2382.91,-4.0,138.3
233,2025-12-12,Bundesliga,RB Leipzig,Union Berlin,2.38,140,0.714,HOME,LOSS,2382.91,95.32,-95.32,2287.59,-4.0,128.8
234,2025-12-14,Premier League,Aston Villa,West Ham,2.15,120,0.781,AWAY,WIN,2287.59,91.5,105.22,2392.81,4.6,139.3
235,2025-12-14,Bundesliga,Borussia Dortmund,SC Freiburg,2.15,101,0.696,DRAW,LOSS,2392.81,95.71,-95.71,2297.1,-4.0,129.7
236,2025-12-15,La Liga,Real Betis,Rayo Vallecano,2.5,102,0.616,DRAW,LOSS,2297.1,91.88,-91.88,2205.22,-4.0,120.5
237,2025-12-20,La Liga,Celta Vigo,Oviedo,2.15,109,0.696,DRAW,LOSS,2205.22,88.21,-88.21,2117.01,-4.0,111.7
238,2025-12-20,Premier League,Brentford,Wolves,2.1,105,0.732,AWAY,WIN,2117.01,84.68,93.15,2210.16,4.4,121.0
239,2025-12-20,La Liga,Real Sociedad,Levante,2.45,93,0.556,DRAW,LOSS,2210.16,88.41,-88.41,2121.75,-4.0,112.2
240,2025-12-27,Premier League,Everton,Burnley,2.2,98,0.771,DRAW,LOSS,2121.75,84.87,-84.87,2036.88,-4.0,103.7
241,2025-12-27,Premier League,Fulham,West Ham,2.6,87,0.621,AWAY,WIN,2036.88,81.48,130.37,2167.25,6.4,116.7
242,2026-01-03,La Liga,Villarreal,Elche,2.1,85,0.741,AWAY,WIN,2167.25,86.69,95.36,2262.61,4.4,126.3
243,2026-01-04,Serie A,Napoli,Lazio,2.2,102,0.655,AWAY,WIN,2262.61,90.5,108.6,2371.21,4.8,137.1
244,2026-01-07,Premier League,Aston Villa,Crystal Palace,2.25,123,0.712,DRAW,LOSS,2371.21,94.85,-94.85,2276.36,-4.0,127.6
245,2026-01-11,Serie A,AC Milan,Fiorentina,2.15,112,0.766,DRAW,LOSS,2276.36,91.05,-91.05,2185.31,-4.0,118.5
246,2026-01-11,La Liga,Espanyol,Levante,2.3,105,0.691,DRAW,LOSS,2185.31,87.41,-87.41,2097.9,-4.0,109.8
247,2026-01-11,Serie A,Lazio,Hellas Verona,2.38,92,0.697,AWAY,WIN,2097.9,83.92,115.81,2213.71,5.5,121.4
248,2026-01-15,Serie A,Bologna,Hellas Verona,2.15,100,0.708,AWAY,WIN,2213.71,88.55,101.83,2315.54,4.6,131.6
249,2026-01-16,Bundesliga,Eintracht Frankfurt,Werder Bremen,2.45,82,0.611,DRAW,LOSS,2315.54,92.62,-92.62,2222.92,-4.0,122.3
250,2026-01-17,Premier League,Manchester City,Manchester United,2.15,105,0.73,HOME,LOSS,2222.92,88.92,-88.92,2134.0,-4.0,113.4
251,2026-01-17,La Liga,Villarreal,Real Betis,2.5,95,0.675,HOME,LOSS,2134.0,85.36,-85.36,2048.64,-4.0,104.9
252,2026-01-24,Premier League,Tottenham,Burnley,2.15,118,0.634,DRAW,LOSS,2048.64,81.95,-81.95,1966.69,-4.0,96.7
253,2026-01-24,Bundesliga,Borussia Dortmund,Union Berlin,2.3,125,0.735,AWAY,WIN,1966.69,78.67,102.27,2068.96,5.2,106.9
254,2026-01-25,Premier League,Chelsea,Crystal Palace,2.2,99,0.606,AWAY,WIN,2068.96,82.76,99.31,2168.27,4.8,116.8
255,2026-01-25,Bundesliga,VfB Stuttgart,Borussia Mönchengladbach,2.15,95,0.687,AWAY,WIN,2168.27,86.73,99.74,2268.01,4.6,126.8
256,2026-01-31,Serie A,Sassuolo,Pisa,2.5,80,0.582,AWAY,WIN,2268.01,90.72,136.08,2404.09,6.0,140.4
257,2026-01-31,Premier League,Bournemouth,Wolves,2.35,99,0.726,AWAY,WIN,2404.09,96.16,129.82,2533.91,5.4,153.4
258,2026-02-03,Serie A,AC Milan,Bologna,2.5,107,0.714,AWAY,WIN,2533.91,101.36,152.04,2685.95,6.0,168.6
259,2026-02-07,Bundesliga,Hamburger SV,1. FC Heidenheim,2.4,97,0.626,AWAY,WIN,2685.95,107.44,150.42,2836.37,5.6,183.6
260,2026-02-07,Premier League,West Ham,Burnley,2.2,88,0.612,AWAY,WIN,2836.37,113.45,136.14,2972.51,4.8,197.3
261,2026-02-07,Premier League,Aston Villa,Bournemouth,2.35,81,0.646,DRAW,LOSS,2972.51,118.9,-118.9,2853.61,-4.0,185.4
262,2026-02-14,La Liga,Villarreal,Getafe,2.25,109,0.785,HOME,LOSS,2853.61,114.14,-114.14,2739.47,-4.0,173.9
263,2026-02-14,Serie A,Atalanta,Lazio,2.15,114,0.591,AWAY,WIN,2739.47,109.58,126.02,2865.49,4.6,186.5
264,2026-02-15,La Liga,Athletic Club,Oviedo,2.25,83,0.618,AWAY,WIN,2865.49,114.62,143.28,3008.77,5.0,200.9
265,2026-02-15,La Liga,Real Betis,Mallorca,2.4,87,0.696,AWAY,WIN,3008.77,120.35,168.49,3177.26,5.6,217.7
266,2026-02-21,Bundesliga,Bayer Leverkusen,Union Berlin,2.38,118,0.744,HOME,LOSS,3177.26,127.09,-127.09,3050.17,-4.0,205.0
267,2026-02-21,Bundesliga,1899 Hoffenheim,1. FC Köln,2.1,98,0.753,DRAW,LOSS,3050.17,122.01,-122.01,2928.16,-4.0,192.8
268,2026-02-22,Ligue 1,Rennes,Auxerre,2.4,100,0.662,AWAY,WIN,2928.16,117.13,163.98,3092.14,5.6,209.2
269,2026-02-28,La Liga,Real Sociedad,Mallorca,2.3,89,0.613,AWAY,WIN,3092.14,123.69,160.8,3252.94,5.2,225.3
270,2026-03-01,Ligue 1,Stade Brestois 29,Metz,2.1,127,0.758,AWAY,WIN,3252.94,130.12,143.13,3396.07,4.4,239.6
271,2026-03-04,Premier League,Manchester United,Newcastle,2.55,90,0.635,HOME,LOSS,3396.07,135.84,-135.84,3260.23,-4.0,226.0
272,2026-03-06,La Liga,Real Madrid,Celta Vigo,2.25,84,0.715,AWAY,WIN,3260.23,130.41,163.01,3423.24,5.0,242.3
273,2026-03-07,Bundesliga,Bayer Leverkusen,SC Freiburg,2.38,86,0.646,DRAW,LOSS,3423.24,136.93,-136.93,3286.31,-4.0,228.6
274,2026-03-07,Ligue 1,Marseille,Toulouse,2.1,84,0.675,AWAY,WIN,3286.31,131.45,144.59,3430.9,4.4,243.1
275,2026-03-13,La Liga,Villarreal,Alaves,2.2,95,0.787,DRAW,LOSS,3430.9,137.24,-137.24,3293.66,-4.0,229.4
276,2026-03-15,Serie A,Genoa,Hellas Verona,2.4,134,0.673,AWAY,WIN,3293.66,131.75,184.45,3478.11,5.6,247.8
277,2026-03-15,Ligue 1,Lyon,Le Havre,2.15,104,0.695,DRAW,LOSS,3478.11,139.12,-139.12,3338.99,-4.0,233.9
278,2026-03-21,Premier League,Chelsea,Everton,2.25,82,0.567,HOME,LOSS,3338.99,133.56,-133.56,3205.43,-4.0,220.5
279,2026-04-04,Serie A,Fiorentina,Hellas Verona,2.1,124,0.709,AWAY,WIN,3205.43,128.22,141.04,3346.47,4.4,234.6
280,2026-04-05,Serie A,Bologna,Cremonese,2.25,130,0.617,AWAY,WIN,3346.47,133.86,167.33,3513.8,5.0,251.4
281,2026-04-05,Serie A,Torino,Pisa,2.4,83,0.559,AWAY,WIN,3513.8,140.55,196.77,3710.57,5.6,271.1
